"","code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude","sample.type1","geol.zone"
"GDM.0099","GDM.0099","Pb mineral","SPZ","Cu-Pb",18.192,15.64,38.257,0.86,2.103,398,9.74,3.9658,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0100","GDM.0100","Pb mineral","SPZ","Cu-Pb",18.18,15.615,38.162,0.859,2.099,360,9.64,3.9132,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0101","GDM.0101","Pb mineral","SPZ","Cu-Pb",18.188,15.609,38.158,0.858,2.098,343,9.61,3.9035,"Marcoux et al,1992","Ref.014",37.775773,-6.677935,"Geological","South Portuguese Zone"
"GDM.0102","GDM.0102","Pb mineral","SPZ","Cu-Pb",18.188,15.609,38.158,0.858,2.098,343,9.61,3.9035,"Marcoux et al,1992","Ref.014",37.800326,-6.972518,"Geological","South Portuguese Zone"
"GDM.0103","GDM.0103","Pb mineral","SPZ","Cu-Pb",18.192,15.594,38.106,0.857,2.095,311,9.55,3.8671,"Marcoux et al,1992","Ref.014",37.800326,-6.972518,"Geological","South Portuguese Zone"
"GDM.0104","GDM.0104","Pb mineral","SPZ","Cu-Pb",18.183,15.604,38.135,0.858,2.097,337,9.6,3.8926,"Marcoux et al,1992","Ref.014",37.800326,-6.972518,"Geological","South Portuguese Zone"
"GDM.0105","GDM.0105","Pb mineral","SPZ","Cu-Pb",18.188,15.627,38.19,0.859,2.1,377,9.69,3.9273,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0106","GDM.0106","Pb mineral","SPZ","Cu-Pb",18.233,15.624,38.181,0.857,2.094,337,9.66,3.8908,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0107","GDM.0107","Pb mineral","SPZ","Cu-Pb",18.215,15.638,38.256,0.859,2.1,377,9.72,3.9488,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0108","GDM.0108","Pb mineral","SPZ","Cu-Pb",18.135,15.597,38.15,0.86,2.104,360,9.58,3.9312,"Marcoux et al,1992","Ref.014",37.606562,-7.101575,"Geological","South Portuguese Zone"
"GDM.0109","GDM.0109","Pb mineral","SPZ","Cu-Pb",18.137,15.602,38.162,0.86,2.104,368,9.6,3.9382,"Marcoux et al,1992","Ref.014",37.606562,-7.101575,"Geological","South Portuguese Zone"
"GDM.0110","GDM.0110","Pb mineral","SPZ","Cu-Pb",18.175,15.634,38.225,0.86,2.103,399,9.72,3.9578,"Marcoux et al,1992","Ref.014",37.596711,-6.894639,"Geological","South Portuguese Zone"
"GDM.0111","GDM.0111","Galena","NIM","Pb-Zn",17.882,15.607,38.015,0.873,2.126,568,9.69,4.0373,"Tornos,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0112","GDM.0112","Galena","NIM","Pb-Zn",17.894,15.629,38.082,0.873,2.128,598,9.78,4.0748,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0113","GDM.0113","Galena","NIM","Pb-Zn",17.887,15.59,37.985,0.872,2.124,533,9.62,4.0105,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0114","GDM.0114","Galena","NIM","Pb-Zn",17.891,15.593,37.984,0.872,2.123,536,9.63,4.0081,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0116","GDM.0116","Galena","NIM","Pb-Zn",17.892,15.602,37.985,0.872,2.123,551,9.67,4.011,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0117","GDM.0117","Galena","NIM","Pb-Zn",17.903,15.63,38.102,0.873,2.128,593,9.78,4.0801,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0118","GDM.0118","Whole rock","BC",NA,18.786,15.694,39.136,0.835,2.083,60,9.82,4.0456,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856,"Geological","Betic Cordillera"
"GDM.0119","GDM.0119","Whole rock","BC",NA,18.66,15.698,39.046,0.841,2.092,161,9.86,4.0855,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856,"Geological","Betic Cordillera"
"GDM.0120","GDM.0120","Whole rock","BC",NA,18.676,15.715,39.099,0.841,2.094,182,9.92,4.1079,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856,"Geological","Betic Cordillera"
"GDM.0121","GDM.0121","Whole rock","BC",NA,18.666,15.683,38.969,0.84,2.088,128,9.8,4.0367,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856,"Geological","Betic Cordillera"
"GDM.0122","GDM.0122","Whole rock","BC",NA,18.722,15.676,39.17,0.837,2.092,72,9.76,4.0985,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0123","GDM.0123","Whole rock","BC",NA,18.653,15.678,38.982,0.841,2.09,128,9.78,4.0502,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0124","GDM.0124","Whole rock","BC",NA,18.646,15.671,38.964,0.84,2.09,119,9.76,4.0431,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0125","GDM.0125","Whole rock","BC",NA,18.927,15.688,39.22,0.829,2.072,-58,9.77,3.9931,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0126","GDM.0126","Whole rock","BC",NA,18.895,15.674,39.1,0.83,2.069,-63,9.72,3.9497,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0127","GDM.0127","Whole rock","BC",NA,18.816,15.69,39.192,0.834,2.083,29,9.8,4.0522,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0128","GDM.0128","Whole rock","BC",NA,18.893,15.678,39.044,0.83,2.067,-53,9.74,3.925,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846,"Geological","Betic Cordillera"
"GDM.0129","GDM.0129","Whole rock","BC",NA,19.012,15.7,39.258,0.826,2.065,-98,9.8,3.962,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846,"Geological","Betic Cordillera"
"GDM.0130","GDM.0130","Whole rock","BC",NA,18.703,15.682,38.599,0.838,2.064,98,9.79,3.8247,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0131","GDM.0131","Whole rock","BC",NA,18.912,15.734,39.12,0.832,2.069,45,9.95,3.9707,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0132","GDM.0132","Whole rock","BC",NA,18.767,15.679,38.879,0.835,2.072,44,9.76,3.9239,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846,"Geological","Betic Cordillera"
"GDM.0133","GDM.0133","Whole rock","BC",NA,18.876,15.697,38.975,0.832,2.065,-1,9.81,3.9088,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846,"Geological","Betic Cordillera"
"GDM.0134","GDM.0134","Whole rock","BC",NA,18.869,15.676,38.914,0.831,2.062,-39,9.74,3.8756,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846,"Geological","Betic Cordillera"
"GDM.0135","GDM.0135","Whole rock","BC",NA,18.837,15.663,38.874,0.832,2.064,-41,9.69,3.8712,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0136","GDM.0136","Whole rock","BC",NA,18.869,15.689,39.007,0.831,2.067,-12,9.78,3.9261,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0137","GDM.0137","Whole rock","BC",NA,18.904,15.705,39.02,0.831,2.064,-6,9.84,3.9162,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0138","GDM.0138","Whole rock","BC",NA,18.905,15.693,38.986,0.83,2.062,-31,9.79,3.8945,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0139","GDM.0139","Whole rock","BC",NA,18.898,15.684,38.85,0.83,2.056,-44,9.76,3.829,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0140","GDM.0140","Whole rock","BC",NA,18.871,15.683,38.96,0.831,2.065,-26,9.76,3.8995,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819,"Geological","Betic Cordillera"
"GDM.0141","GDM.0141","Whole rock","BC",NA,18.845,15.685,38.966,0.832,2.068,-2,9.77,3.9196,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174,"Geological","Betic Cordillera"
"GDM.0142","GDM.0142","Whole rock","BC",NA,18.835,15.683,38.948,0.833,2.068,1,9.77,3.9163,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174,"Geological","Betic Cordillera"
"GDM.0143","GDM.0143","Whole rock","BC",NA,18.863,15.697,38.986,0.832,2.067,8,9.82,3.9225,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174,"Geological","Betic Cordillera"
"GDM.0144","GDM.0144","Whole rock","BC",NA,18.856,15.683,38.927,0.832,2.064,-15,9.76,3.8927,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174,"Geological","Betic Cordillera"
"GDM.0145","GDM.0145","Galena","BC","Pb-Zn",18.349,15.685,38.578,0.855,2.102,365,9.88,4.0476,"Arribas & Tosdal, 1994","Ref.016",36.867596,-2.768778,"Geological","Betic Cordillera"
"GDM.0146","GDM.0146","Galena","BC","Pb-Zn",18.339,15.672,38.567,0.855,2.103,349,9.83,4.044,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0147","GDM.0147","Galena","BC","Pb-Zn",18.323,15.659,38.488,0.855,2.101,336,9.78,4.008,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0148","GDM.0148","Galena","BC","Pb-Zn",18.321,15.657,38.484,0.855,2.101,334,9.77,4.0065,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292,"Geological","Betic Cordillera"
"GDM.0149","GDM.0149","Galena","BC","Pb-Zn",18.327,15.663,38.498,0.855,2.101,341,9.8,4.012,"Arribas & Tosdal, 1994","Ref.016",36.983348,-2.160589,"Geological","Betic Cordillera"
"GDM.0150","GDM.0150","Whole rock","BC","Pb-Zn",18.731,15.691,39.053,0.838,2.085,95,9.82,4.0391,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159,"Geological","Betic Cordillera"
"GDM.0151","GDM.0151","Whole rock","BC","Pb-Zn",18.701,15.67,38.967,0.838,2.084,76,9.74,4.0078,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159,"Geological","Betic Cordillera"
"GDM.0152","GDM.0152","Galena","BC","Pb-Zn",18.722,15.681,39.011,0.838,2.084,82,9.78,4.0202,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159,"Geological","Betic Cordillera"
