"","code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude","sample.type1","geol.zone"
"GDM.0037","GDM.0037","Galena","OMZ",NA,18.23,15.65,38.33,0.858,2.102,388,9.77,3.9831,"Brill et al, 1987","Ref.011",37.70455,-6.598663,"Geological","Ossa Morena Zone"
"GDM.0038","GDM.0038","Pb mineral","OMZ",NA,18.23,15.62,38.39,0.857,2.106,332,9.65,4.0053,"Brill et al, 1987","Ref.011",37.70455,-6.598663,"Geological","Ossa Morena Zone"
"GDM.0039","GDM.0039","Galena","OMZ",NA,18.18,15.59,38.36,0.858,2.11,312,9.54,4.013,"Brill et al, 1987","Ref.011",37.70455,-6.598663,"Geological","Ossa Morena Zone"
"GDM.0040","GDM.0040","Galena","OMZ",NA,18.2,15.6,38.25,0.857,2.101,316,9.58,3.9425,"Brill et al, 1987","Ref.011",37.70455,-6.598663,"Geological","Ossa Morena Zone"
"GDM.0041","GDM.0041","Pb metal",NA,NA,18.37,15.61,38.35,0.85,2.088,207,9.58,3.8853,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0042","GDM.0042","Pb metal",NA,NA,18.5,15.66,38.64,0.846,2.088,207,9.74,3.9694,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0043","GDM.0043","Pb metal",NA,NA,18.36,15.64,38.46,0.852,2.095,273,9.7,3.9612,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0044","GDM.0044","Pb metal",NA,NA,18.41,15.63,38.46,0.849,2.089,216,9.65,3.9241,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0045","GDM.0045","Pb metal",NA,NA,18.24,15.62,38.4,0.856,2.105,325,9.65,4.0038,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0046","GDM.0046","Pb metal",NA,NA,18.34,15.65,38.48,0.853,2.098,307,9.74,3.9889,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0047","GDM.0047","Pb metal",NA,NA,18.48,15.64,38.52,0.846,2.085,183,9.67,3.9128,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0048","GDM.0048","Pb metal",NA,NA,18.42,15.64,38.53,0.849,2.091,228,9.68,3.9579,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0049","GDM.0049","Pb metal",NA,NA,18.09,15.62,38.16,0.863,2.109,437,9.68,3.9759,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
