"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.2905","El Carambolo","Pb metal","Bronze Age",18.321,15.649,38.461,0.854,2.099,318,9.74,3.9909,"Hunt Ortiz et al., 2010","Ref.060",37.392485,-6.036451
"GDM.2906","El Carambolo","Pb metal","Bronze Age",18.325,15.652,38.475,0.854,2.1,322,9.75,3.9974,"Hunt Ortiz et al., 2010","Ref.060",37.392485,-6.036451
"GDM.2907","El Carambolo","Pb metal","Bronze Age",18.201,15.616,38.352,0.858,2.107,347,9.64,4.0036,"Hunt Ortiz et al., 2010","Ref.060",37.392485,-6.036451
"GDM.2908","El Carambolo","Slag","Bronze Age",18.404,15.752,38.801,0.856,2.108,446,10.13,4.1523,"Hunt Ortiz et al., 2010","Ref.060",37.392485,-6.036451
"GDM.0990","Almizarique","Cu mineral","Bronze Age",18.578,15.683,38.687,0.844,2.082,193,9.82,3.9503,"Montero-Ruiz & Murillo-Barroso, 2010","Ref.061",37.334084,-1.877723
"GDM.0991","Almizarique","Cu metal","Bronze Age",18.667,15.665,38.791,0.839,2.078,91,9.73,3.9389,"Montero-Ruiz & Murillo-Barroso, 2010","Ref.061",37.334084,-1.877723
"GDM.0992","Almizarique","Cu metal","Bronze Age",18.65,15.674,38.773,0.84,2.079,123,9.77,3.9446,"Montero-Ruiz & Murillo-Barroso, 2010","Ref.061",37.334084,-1.877723
"GDM.0993","Almizarique","Cu metal","Bronze Age",18.683,15.668,38.837,0.839,2.079,86,9.74,3.9533,"Montero-Ruiz & Murillo-Barroso, 2010","Ref.061",37.334084,-1.877723
"GDM.2411","bolskan","Silver","Roman",18.435,15.649,38.645,0.849,2.096,234,9.72,4.0117,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2412","bolskan","Silver","Roman",18.714,15.704,39.048,0.839,2.086,133,9.87,4.0526,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2413","bolskan","Cu metal","Roman",18.714,15.672,38.979,0.838,2.083,70,9.75,4.006,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2414","bolskan (El Molón)","Silver","Roman",18.575,15.661,38.979,0.843,2.089,153,9.73,4.095,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2415","ilerda","Cu metal","Roman",18.665,15.675,38.799,0.869,2.083,113,9.77,3.948,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2416","iltirikesken","Cu metal","Roman",18.314,15.684,38.878,0.856,2.104,389,9.88,4.2334,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2417","iltirta","Cu metal","Roman",18.317,15.625,38.53,0.853,2.1,276,9.65,4.0226,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2418","iltirtasalirban","Silver","Roman",18.589,15.701,38.467,0.845,2.092,219,9.89,3.8358,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2419","iltirtasalirban","Silver","Roman",18.562,15.693,38.889,0.845,2.091,224,9.86,4.0691,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2420","iltirtasalirustin","Silver","Roman",18.698,15.689,38.986,0.839,2.085,116,9.82,4.0263,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2421","kelse","Cu metal","Roman",18.719,15.677,38.995,0.838,2.083,76,9.77,4.0126,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2422","kelse","Silver","Roman",18.583,15.71,38.882,0.845,2.092,241,9.92,4.0573,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2423","kelse","Cu metal","Roman",18.728,15.694,39.043,0.838,2.085,103,9.83,4.0371,"Montero Ruiz et al., 2010b","Ref.062",41.613903,0.620771
"GDM.2914","La Clota","Cu metal","Bronze Age",18.771,15.726,39.006,0.838,2.078,134,9.95,4.0019,"Rafel et al., 2010a","Ref.063",41.016857,0.186323
"GDM.1005","Castellar de Pontos ","Silver","Bronze Age",18.734,15.67,38.96,0.837,2.08,51,9.74,3.9826,"Rafel et al., 2009","Ref.064",42.005585,3.079164
