"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.1039","Empúries   ","Pb metal","Bronze Age",18.303,15.66,38.44,0.856,2.1,353,9.79,3.9962,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1040","Empúries   ","Pb metal","Bronze Age",18.727,15.69,39.02,0.838,2.084,96,9.81,4.0247,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1041","Empúries   ","Cu metal","Bronze Age",18.494,15.57,38.41,0.842,2.077,30,9.4,3.8211,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1042","Empúries   ","Pb metal","Bronze Age",18.489,15.65,38.63,0.846,2.089,196,9.71,3.9679,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1043","Empúries   ","Pb metal","Bronze Age",18.651,15.68,38.91,0.841,2.086,133,9.79,4.0155,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1044","Empúries   ","Pb metal","Bronze Age",18.724,15.68,39,0.837,2.083,78,9.78,4.013,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1045","Empúries   ","Pb metal","Bronze Age",18.803,15.78,39.34,0.839,2.092,212,10.15,4.1678,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1046","Empúries   ","Silver","Bronze Age",18.615,15.66,38.76,0.848,2.082,121,9.72,3.9554,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1047","Empúries   ","Pb metal","Bronze Age",18.727,15.69,39.01,0.838,2.083,96,9.81,4.0197,"Rafel et al., 2009","Ref.064",42.134421,3.117598
"GDM.1048","Puig Castellet  ","Silver","Bronze Age",18.593,15.67,38.81,0.843,2.087,157,9.76,3.9992,"Rafel et al., 2009","Ref.064",41.70943,2.84775
"GDM.1049","Sant Jaume  ","Pb metal","Bronze Age",18.697,15.7,38.98,0.839,2.085,138,9.86,4.028,"Rafel et al., 2009","Ref.064",41.70943,2.84775
"GDM.1050","Sant Jaume  ","Pb metal","Bronze Age",18.7,15.68,38.9,0.838,2.08,96,9.78,3.9782,"Rafel et al., 2009","Ref.064",41.70943,2.84775
"GDM.1051","Sant Jaume  ","Pb metal","Bronze Age",18.679,15.68,38.93,0.84,2.084,112,9.79,4.0072,"Rafel et al., 2009","Ref.064",41.70943,2.84775
"GDM.1052","Sant Jaume  ","Pb metal","Bronze Age",18.688,15.69,38.95,0.84,2.084,125,9.82,4.0151,"Rafel et al., 2009","Ref.064",41.70943,2.84775
"GDM.1053","Ullastret-Serra de Daró ","Silver","Bronze Age",18.713,15.67,38.84,0.837,2.075,67,9.74,3.9358,"Rafel et al., 2009","Ref.064",42.028748,3.076472
"GDM.1054","Ullastret   ","Silver","Bronze Age",18.68,15.68,38.84,0.839,2.079,111,9.79,3.9609,"Rafel et al., 2009","Ref.064",42.005305,3.078873
"GDM.1055","Ullastret   ","Galena","Bronze Age",18.535,15.69,38.87,0.847,2.097,238,9.85,4.0764,"Rafel et al., 2009","Ref.064",42.005305,3.078873
"GDM.2909","Cala Sant Vicenç","Pb metal","Roman",18.706,15.699,38.971,0.839,2.083,129,9.85,4.0171,"Rovira et al.. 2010","Ref.065",39.92156,3.054525
"GDM.1112",NA,"Hg mineral","Stone Age",18.361,15.659,38.498,0.853,2.097,309,9.77,3.9876,"Hunt-Ortiz et al., 2011","Ref.067",40.400291,-3.534703
"GDM.1113",NA,"Hg mineral","Copper Age",18.479,15.652,38.382,0.847,2.077,208,9.72,3.8457,"Hunt-Ortiz et al., 2011","Ref.067",38.80625,-6.683823
"GDM.1114",NA,"Hg mineral","Bronze Age",18.478,15.656,38.609,0.847,2.09,216,9.73,3.9669,"Hunt-Ortiz et al., 2011","Ref.067",37.410048,-6.058798
"GDM.1118",NA,"Pb metal","Roman",18.18,15.559,38.187,0.856,2.1,252,9.42,3.9072,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1119",NA,"Pb metal","Roman",18.186,15.565,38.197,0.856,2.1,259,9.44,3.9107,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1120",NA,"Pb metal","Roman",18.195,15.57,38.238,0.856,2.102,262,9.46,3.9287,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1121",NA,"Pb metal","Roman",18.182,15.554,38.211,0.856,2.102,240,9.4,3.9171,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1122",NA,"Pb metal","Roman",18.19,15.567,38.217,0.856,2.101,260,9.45,3.9196,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1123",NA,"Pb metal","Roman",18.194,15.57,38.231,0.856,2.101,263,9.46,3.9256,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1124",NA,"Pb metal","Roman",18.268,15.659,38.567,0.857,2.111,377,9.79,4.0889,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1125",NA,"Pb metal","Roman",18.228,15.633,38.535,0.857,2.112,358,9.7,4.0904,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1126",NA,"Pb metal","Roman",18.26,15.628,38.609,0.856,2.114,325,9.67,4.1062,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1127",NA,"Pb metal","Roman",18.236,15.608,38.552,0.856,2.114,305,9.6,4.0849,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1128",NA,"Cu metal","Roman",18.291,15.625,38.408,0.854,2.1,297,9.65,3.975,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1129",NA,"Cu metal","Roman",18.229,15.611,38.333,0.856,2.103,316,9.61,3.9722,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1130",NA,"Cu metal","Roman",18.27,15.617,38.356,0.855,2.099,297,9.63,3.9582,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1131",NA,"Cu metal","Roman",18.245,15.616,38.352,0.856,2.102,313,9.63,3.9729,"Nesta et al., 2011","Ref.069",36.703599,-6.414926
"GDM.1136",NA,"Galena","Bronze Age",18.783,15.753,39.15,0.839,2.084,175,10.05,4.0757,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1137",NA,"Galena","Bronze Age",18.76,15.716,39.027,0.838,2.08,124,9.91,4.0164,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1138",NA,"Galena","Bronze Age",18.708,15.68,38.921,0.838,2.08,91,9.78,3.9834,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1139",NA,"Galena","Bronze Age",18.766,15.723,39.039,0.838,2.08,131,9.93,4.0206,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1140",NA,"Galena","Bronze Age",18.751,15.72,39.035,0.838,2.082,137,9.93,4.0273,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1141",NA,"Galena","Bronze Age",18.764,15.714,39.008,0.837,2.079,115,9.9,4.0031,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1142",NA,"Galena","Bronze Age",18.72,15.696,38.972,0.839,2.082,114,9.84,4.0073,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1143",NA,"Pb metal","Bronze Age",18.718,15.69,38.95,0.838,2.081,103,9.82,3.9952,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1144",NA,"Pb metal","Bronze Age",18.713,15.676,38.897,0.838,2.078,78,9.76,3.9666,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1145",NA,"Pb metal","Bronze Age",18.736,15.702,38.989,0.838,2.081,113,9.86,4.0075,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1146",NA,"Pb metal","Bronze Age",18.746,15.712,39.024,0.838,2.082,125,9.9,4.0223,"Ramon et al., 2011","Ref.070",38.867062,1.334769
"GDM.1940","La Vital","Cu metal","Bronze Age",18.766,15.711,38.854,0.837,2.07,109,9.89,3.9233,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1941","La Vital","Cu metal","Bronze Age",18.729,15.717,38.917,0.839,2.078,147,9.92,3.9812,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1942","La Vital","Cu metal","Bronze Age",18.656,15.691,38.925,0.841,2.086,150,9.83,4.0241,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1943","La Vital","Cu metal","Bronze Age",18.6,15.688,38.743,0.843,2.083,187,9.83,3.9667,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1944","La Vital","Cu metal","Bronze Age",18.659,15.718,38.97,0.842,2.088,200,9.94,4.0542,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1945","La Vital","Cu metal","Bronze Age",18.494,15.668,38.557,0.847,2.085,227,9.78,3.933,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1946","La Vital","Cu metal","Bronze Age",18.486,15.688,38.668,0.849,2.092,271,9.86,4.0032,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.2756","La Vital","Cu metal","Bronze Age",18.4,15.654,38.584,0.851,2.097,270,9.74,4.0052,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.2757","La Vital","Cu metal","Bronze Age",18.408,15.699,38.681,0.853,2.101,349,9.92,4.067,"Rovira & Montero-Ruiz, 2011","Ref.071",38.970756,-0.168956
"GDM.1147","Corta Lago","Slag","Bronze Age",18.305,15.643,38.411,0.855,2.098,321,9.72,3.9738,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1148","Corta Lago","Slag","Bronze Age",18.225,15.63,38.33,0.858,2.103,354,9.69,3.9794,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1149","Corta Lago","Slag","Bronze Age",18.334,15.648,38.448,0.854,2.097,308,9.74,3.9754,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1150","Corta Lago","Slag","Bronze Age",18.393,15.653,38.531,0.851,2.095,272,9.74,3.9813,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1151","Corta Lago","Slag","Bronze Age",18.422,15.655,38.572,0.85,2.094,255,9.74,3.984,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1152","Corta Lago","Slag","Iron Age",18.349,15.677,38.538,0.854,2.1,351,9.85,4.0236,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1153","Corta Lago","Slag","Iron Age",18.34,15.668,38.516,0.854,2.1,340,9.81,4.0148,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1154","Corta Lago","Slag","Roman",18.192,15.634,38.237,0.859,2.102,386,9.71,3.9525,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1155","Corta Lago","Slag","Roman",18.203,15.626,38.253,0.858,2.102,363,9.68,3.9513,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1156","Corta Lago","Slag","Roman",18.183,15.628,38.219,0.86,2.102,382,9.69,3.9467,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1157","Corta Lago","Slag","Roman",18.391,15.662,38.557,0.852,2.096,291,9.78,3.9995,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1158","Corta Lago","Slag","Roman",18.203,15.631,38.246,0.859,2.101,372,9.7,3.9492,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1159","Corta Lago","Slag","Roman",18.333,15.654,38.45,0.854,2.097,319,9.76,3.9791,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1160","Corta Lago","Slag","Roman",18.37,15.659,38.512,0.852,2.096,302,9.77,3.989,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1161","Corta Lago","Slag","Roman",18.202,15.632,38.25,0.859,2.102,376,9.7,3.9528,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1162","Corta Lago","Slag","Roman",18.392,15.652,38.528,0.851,2.095,272,9.74,3.9803,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1163","Corta Lago","Slag","Roman",18.431,15.654,38.576,0.849,2.093,247,9.74,3.9794,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1164","Corta Lago","Slag","Roman",18.411,15.654,38.555,0.85,2.094,262,9.74,3.9824,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1165","Corta Lago","Slag","Roman",18.423,15.658,38.571,0.85,2.094,260,9.75,3.9842,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1166","Corta Lago","Slag","Roman",18.419,15.665,38.587,0.85,2.095,276,9.78,3.9973,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1167","Corta Lago","Slag","Roman",18.386,15.66,38.538,0.852,2.096,291,9.77,3.9921,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1168","Corta Lago","Slag","Roman",18.376,15.655,38.512,0.852,2.096,289,9.75,3.9832,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1169","Corta Lago","Slag","Roman",18.434,15.657,38.587,0.849,2.093,250,9.75,3.9845,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1170","Corta Lago","Slag","Roman",18.271,15.639,38.347,0.856,2.099,337,9.71,3.96,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1171","Corta Lago","Slag","Roman",18.192,15.63,38.233,0.859,2.102,379,9.7,3.9487,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1172","Corta Lago","Slag","Roman",18.264,15.637,38.322,0.856,2.098,339,9.71,3.9508,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1173","Corta Lago","Slag","Roman",18.183,15.628,38.215,0.86,2.102,382,9.69,3.9448,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1174","Corta Lago","Slag","Roman",18.183,15.627,38.207,0.859,2.101,380,9.69,3.9398,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1175","Corta Lago","Slag","Roman",18.189,15.63,38.217,0.859,2.101,382,9.7,3.9422,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1176","Corta Lago","Slag","Roman",18.188,15.627,38.224,0.859,2.102,376,9.69,3.9459,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1177","Corta Lago","Pb metal","Roman",18.188,15.626,38.203,0.859,2.1,374,9.68,3.9344,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1178","Corta Lago","Pb metal","Roman",18.72,15.68,38.989,0.838,2.083,81,9.78,4.0102,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1179","Corta Lago","Pb metal","Roman",18.336,15.67,38.517,0.855,2.101,348,9.82,4.0188,"Anguilano, 2012","Ref.072",37.689697,-6.555895
"GDM.1180","Tharsis","Slag","Roman",18.405,15.668,38.602,0.851,2.097,293,9.8,4.0159,"Anguilano, 2012","Ref.072",37.600857,-7.105728
"GDM.1181","Tharsis","Slag","Roman",18.285,15.659,38.438,0.856,2.102,365,9.79,4.0072,"Anguilano, 2012","Ref.072",37.600857,-7.105728
"GDM.1182","Tharsis","Slag","Roman",18.217,15.65,38.354,0.859,2.105,398,9.77,4.0054,"Anguilano, 2012","Ref.072",37.600857,-7.105728
"GDM.1183","Tharsis","Slag","Roman",18.187,15.642,38.299,0.86,2.106,405,9.75,3.9926,"Anguilano, 2012","Ref.072",37.600857,-7.105728
"GDM.1184","Cerro de la Encina, gr 21","Silver","Bronze Age",18.188,15.613,38.351,0.858,2.109,351,9.63,4.0109,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1185","Cerro de la Encina, gr 21","Silver","Bronze Age",18.19,15.606,38.348,0.858,2.108,335,9.6,4.0052,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1186","Cerro de la Encina, gr 21","Silver","Bronze Age",18.196,15.61,38.363,0.858,2.108,339,9.62,4.0105,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1187","Cerro de la Encina, gr 21","Silver","Bronze Age",18.171,15.601,38.355,0.859,2.111,340,9.59,4.0207,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1188","Cerro de la Encina, gr 21","Silver","Bronze Age",18.206,15.611,38.382,0.857,2.108,332,9.62,4.0142,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1189","Cerro de la Encina, gr 21","Silver","Bronze Age",18.206,15.605,38.376,0.857,2.108,322,9.59,4.0093,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1190","Cerro de la Virgen, gr 22b","Silver","Bronze Age",18.238,15.634,38.366,0.857,2.104,353,9.7,3.9917,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1191","Cerro de la Virgen, gr 22a","Silver","Bronze Age",18.205,15.639,38.306,0.859,2.104,386,9.73,3.9834,"Bartelheim et al., 2012","Ref.073",37.136566,-3.547929
"GDM.1192","Cuesta del Negro, gr 31 ","Silver","Bronze Age",18.206,15.603,38.348,0.857,2.106,318,9.59,3.9933,"Bartelheim et al., 2012","Ref.073",37.370033,-3.215341
"GDM.1193","Cuesta del Negro, gr 31 ","Silver","Bronze Age",18.211,15.601,38.368,0.857,2.107,311,9.58,4.0002,"Bartelheim et al., 2012","Ref.073",37.370033,-3.215341
"GDM.1194","Cuesta del Negro, gr 4 ","Silver","Bronze Age",18.139,15.605,38.341,0.86,2.114,373,9.61,4.0372,"Bartelheim et al., 2012","Ref.073",37.370033,-3.215341
"GDM.1195","Cuesta del Negro, gr 4 ","Silver","Bronze Age",18.209,15.613,38.399,0.857,2.109,334,9.62,4.0224,"Bartelheim et al., 2012","Ref.073",37.370033,-3.215341
"GDM.1196","Cuesta del Negro, gr 35 ","Silver","Bronze Age",18.314,15.642,38.361,0.854,2.095,311,9.72,3.9397,"Bartelheim et al., 2012","Ref.073",37.370033,-3.215341
"GDM.1197","La Bastida    ","Silver","Bronze Age",18.202,15.602,38.397,0.857,2.11,318,9.58,4.0222,"Bartelheim et al., 2012","Ref.073",37.759592,-1.561235
"GDM.1198","Pantano Bermejales, gr. 8  ","Silver","Bronze Age",18.185,15.603,38.341,0.858,2.108,334,9.59,4.004,"Bartelheim et al., 2012","Ref.073",36.998648,-3.879081
"GDM.1199","Peñalosa, gr. 7   ","Silver","Bronze Age",18.197,15.605,38.37,0.858,2.109,328,9.6,4.0121,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1200","Peñalosa, gr. 7   ","Silver","Bronze Age",18.202,15.607,38.355,0.857,2.107,328,9.6,4.0011,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1201","Peñalosa, gr. 7   ","Silver","Bronze Age",18.217,15.607,38.38,0.857,2.107,316,9.6,4.0039,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1202","Peñalosa, gr. 7   ","Silver","Bronze Age",18.2,15.606,38.353,0.857,2.107,329,9.6,4.001,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1203","Peñalosa, gr. 21   ","Silver","Bronze Age",18.135,15.592,38.299,0.86,2.112,351,9.56,4.012,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1204","Peñalosa, gr. 21   ","Silver","Bronze Age",18.175,15.6,38.342,0.858,2.11,336,9.58,4.0103,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1205","Peñalosa, gr. 21   ","Silver","Bronze Age",18.135,15.596,38.308,0.86,2.112,357,9.57,4.0182,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1206","Peñalosa     ","Silver","Bronze Age",18.24,15.597,38.377,0.855,2.104,281,9.55,3.9832,"Bartelheim et al., 2012","Ref.073",38.170738,-3.796177
"GDM.1207","San Antón    ","Silver","Bronze Age",18.218,15.645,38.409,0.859,2.108,389,9.75,4.033,"Bartelheim et al., 2012","Ref.073",38.350526,-0.479526
"GDM.1208","Terrera del Reloj   ","Silver","Bronze Age",18.202,15.628,38.328,0.859,2.106,368,9.69,3.9934,"Bartelheim et al., 2012","Ref.073",37.595512,-3.006048
"GDM.1229","La Pastora","Cu metal","Bronze Age",18.111,15.609,38.134,0.862,2.106,401,9.63,3.9431,"Hunt Ortiz et al., 2012","Ref.075",37.413083,-6.066677
"GDM.1230","La Pastora","Cu metal","Bronze Age",18.288,15.638,38.316,0.855,2.095,323,9.71,3.9318,"Hunt Ortiz et al., 2012","Ref.075",37.413083,-6.066677
"GDM.1231","La Pastora","Cu metal","Bronze Age",18.325,15.654,38.451,0.854,2.098,325,9.76,3.985,"Hunt Ortiz et al., 2012","Ref.075",37.413083,-6.066677
"GDM.1232","La Pijotilla","Cu metal","Bronze Age",18.199,15.635,38.218,0.859,2.1,383,9.72,3.9379,"Hunt Ortiz et al., 2012","Ref.075",38.809478,-6.691062
"GDM.1233","La Pijotilla","Cu metal","Bronze Age",18.565,15.659,38.564,0.844,2.077,156,9.73,3.8868,"Hunt Ortiz et al., 2012","Ref.075",38.809478,-6.691062
"GDM.2584","<U+FEFF>Cova de la Pesseta","Cu metal","Bronze Age",18.362,15.667,38.547,0.853,2.099,322,9.8,4.0157,"Soriano & Chamón Fernández, 2012","Ref.076",41.393353,1.555804
"GDM.1234","El Avenc del Primo","Cu mineral","Bronze Age",18.317,15.675,38.486,0.856,2.101,371,9.85,4.0169,"Armada et al., 2013","Ref.077",41.147485,0.747472
"GDM.1235","Sebes","Cu metal","Bronze Age",18.253,15.638,38.427,0.857,2.105,349,9.71,4.0159,"Belarte et al., 2013","Ref.078",41.239473,0.522924
"GDM.1236","Sebes","Cu metal","Bronze Age",18.291,15.652,38.467,0.856,2.103,347,9.76,4.0162,"Belarte et al., 2013","Ref.078",41.239473,0.522924
"GDM.2424",NA,"Pb metal","Roman",18.184,15.586,38.265,0.857,2.104,302,9.52,3.9568,"Domergue et al., 2013","Ref.079",39.156249,2.921663
"GDM.2425",NA,"Pb metal","Roman",18.21,15.612,38.353,0.857,2.106,332,9.62,3.9962,"Domergue et al., 2013","Ref.079",39.156249,2.921663
"GDM.2426",NA,"Pb metal","Roman",18.253,15.688,38.546,0.859,2.112,441,9.92,4.0981,"Domergue et al., 2013","Ref.079",39.156249,2.921663
"GDM.2427",NA,"Pb metal","Roman",18.199,15.611,38.366,0.858,2.108,338,9.62,4.0106,"Domergue et al., 2013","Ref.079",39.156249,2.921663
"GDM.2797","Santa Llúcia","Pb metal",NA,18.348,15.682,38.562,0.855,2.102,361,9.87,4.039,"Montero-Ruiz et al., 2013","Ref.080",40.260539,0.267515
"GDM.2798","Santa Llúcia","Pb metal",NA,18.345,15.682,38.558,0.855,2.102,363,9.87,4.0385,"Montero-Ruiz et al., 2013","Ref.080",40.260539,0.267515
"GDM.2802","Torre de la Sal","Pb metal",NA,18.747,15.694,39.059,0.837,2.083,89,9.83,4.0327,"Montero-Ruiz et al., 2013","Ref.080",40.141446,0.164641
"GDM.2803","Torre de la Sal","Pb metal",NA,18.731,15.693,39.039,0.838,2.084,99,9.83,4.0328,"Montero-Ruiz et al., 2013","Ref.080",40.141446,0.164641
"GDM.2804","Tossal del Mortòrum","Pb metal",NA,18.33,15.676,38.569,0.855,2.104,363,9.85,4.0527,"Montero-Ruiz et al., 2013","Ref.080",40.140272,0.105823
"GDM.2805","Tossal del Mortòrum","Pb metal",NA,18.323,15.667,38.542,0.855,2.103,351,9.81,4.0399,"Montero-Ruiz et al., 2013","Ref.080",40.140272,0.105823
"GDM.2806","Tossal del Mortòrum","Pb metal",NA,18.338,15.685,38.603,0.855,2.105,374,9.88,4.0686,"Montero-Ruiz et al., 2013","Ref.080",40.140272,0.105823
"GDM.2807","Tossal del Mortòrum","Pb metal",NA,18.342,15.677,38.55,0.855,2.102,356,9.85,4.0346,"Montero-Ruiz et al., 2013","Ref.080",40.140272,0.105823
"GDM.2888","Cerro de Ia Encina","Ore mix","Bronze Age",18.445,15.632,38.518,0.847,2.088,193,9.65,3.9317,"Murillo-Barroso, 2013","Ref.081",37.136566,-3.547929
"GDM.2889","Cerro de Ia Encina","Silver","Bronze Age",18.154,15.577,38.294,0.858,2.109,307,9.49,3.9904,"Murillo-Barroso, 2013","Ref.081",37.136566,-3.547929
"GDM.2890","Cerro de Ia Encina","Silver","Bronze Age",18.233,15.597,38.327,0.855,2.102,286,9.56,3.9609,"Murillo-Barroso, 2013","Ref.081",37.136566,-3.547929
"GDM.2891","Cerro de Ia Encina","Silver","Bronze Age",18.253,15.61,38.341,0.855,2.101,296,9.6,3.9597,"Murillo-Barroso, 2013","Ref.081",37.136566,-3.547929
"GDM.2892","Cerro de Ia Encina","Silver","Bronze Age",18.189,15.611,38.328,0.858,2.107,346,9.62,3.9967,"Murillo-Barroso, 2013","Ref.081",37.136566,-3.547929
"GDM.2893","El Oficio","Silver","Bronze Age",18.742,15.676,38.762,0.836,2.068,57,9.76,3.8801,"Murillo-Barroso, 2013","Ref.081",37.29723,-1.884049
"GDM.2894","EIOficio","Silver","Bronze Age",18.21,15.614,38.414,0.857,2.11,336,9.63,4.0302,"Murillo-Barroso, 2013","Ref.081",37.29723,-1.884049
"GDM.2895","El Argar","Silver","Bronze Age",18.227,15.603,38.37,0.856,2.105,302,9.58,3.9904,"Murillo-Barroso, 2013","Ref.081",37.252126,-1.917123
"GDM.1237","Canto Tortoso","Cu metal","Bronze Age",18.63,15.68,38.882,0.842,2.087,148,9.8,4.0149,"Carrasco Rus et al., 2014","Ref.083",37.59482,-3.005188
"GDM.1238","Las Muelas","Cu metal","Bronze Age",18.297,15.653,38.454,0.856,2.102,344,9.76,4.0055,"Carrasco Rus et al., 2014","Ref.083",37.588355,-3.243672
"GDM.1239","Monachil 2","Cu metal","Bronze Age",18.218,15.627,38.261,0.858,2.1,354,9.68,3.9455,"Carrasco Rus et al., 2014","Ref.083",37.136712,-3.548874
"GDM.2758",NA,"Silver","Bronze Age",18.196,15.621,38.247,0.859,2.101,359,9.66,3.951,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2759",NA,"Silver","Bronze Age",18.196,15.623,38.257,0.859,2.102,363,9.67,3.9572,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2760",NA,"Silver","Bronze Age",18.196,15.629,38.27,0.859,2.103,374,9.69,3.9664,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2761",NA,"Silver","Bronze Age",18.278,15.623,38.378,0.855,2.099,302,9.65,3.9668,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2762",NA,"Silver","Bronze Age",18.181,15.624,38.249,0.859,2.103,376,9.68,3.9634,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2763",NA,"Silver","Bronze Age",18.2,15.631,38.287,0.859,2.103,375,9.7,3.9736,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2764",NA,"Silver","Bronze Age",18.183,15.628,38.264,0.86,2.104,382,9.69,3.9717,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2765",NA,"Silver","Bronze Age",18.19,15.629,38.268,0.859,2.103,379,9.69,3.9694,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2766",NA,"Silver","Bronze Age",18.187,15.626,38.263,0.859,2.103,376,9.68,3.9677,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
"GDM.2767",NA,"Silver","Bronze Age",18.172,15.612,38.238,0.859,2.104,360,9.63,3.9594,"Comendador et al., 2014","Ref.084",42.782777,-7.896742
