"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0069","GDM.0069","141","Spain","Jaén","Santa Elena","El Piñón",38.339702,-3.522492,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.225,0.081,15.765,0.068,38.678,0.151,0.86502,NA,2.12225,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,595,10.2401,4.2168,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0070","GDM.0070","179/1","Spain","Jaén","Linares","L aCruz",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.372,0.08,15.801,0.065,38.992,0.164,0.86006,NA,2.12236,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,554,10.3443,4.2942,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0071","GDM.0071","179/2","Spain","Jaén","Linares","El Cobre",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.694,0.075,16.08,0.06,38.788,0.155,0.86017,NA,2.07489,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,778,11.4147,4.0519,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0072","GDM.0072","179/3","Spain","Jaén","Linares","El Cobre",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.58,0.074,15.948,0.06,39.273,0.15,0.85834,NA,2.11372,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,652,10.892,4.3441,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0073","GDM.0073","179/5","Spain","Jaén","Linares","El Cobre",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.504,0.057,15.897,0.055,39.062,0.129,0.85911,NA,2.111,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,622,10.7027,4.2695,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0074","GDM.0074","179/7","Spain","Jaén","Linares","El Cobre",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.285,0.066,15.765,0.049,38.834,0.116,0.86218,NA,2.12382,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,553,10.2216,4.259,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0075","GDM.0075","179/13","Spain","Jaén","Linares","Igualdad",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.768,0.059,16.035,0.043,39.231,0.097,0.85438,NA,2.09031,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,664,11.1959,4.2199,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0076","GDM.0076","179/15","Spain","Jaén","Linares","Igualdad",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.503,0.079,15.869,0.09,39.417,0.218,0.85764,NA,2.1303,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,577,10.5862,4.4495,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0077","GDM.0077","179/16","Spain","Jaén","Linares","Igualdad",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.545,0.07,15.925,0.063,39.199,0.159,0.85872,NA,2.11372,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,639,10.8068,4.3223,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0078","GDM.0078","179/17","Spain","Jaén","Linares","Matacabras",38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.525,0.079,15.829,0.067,39.035,0.14,0.85447,NA,2.10715,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,495,10.4147,4.218,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0079","GDM.0079","179/18","Spain","Jaén","Sierra Morena","Caprichosa",38.35201,-3.500682,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",19.282,0.084,16.585,0.068,40.967,0.173,0.86013,NA,2.12462,NA,NA,NA,NA,NA,NA,"NIM",NA,"Metasedimento",NA,NA,NA,NA,NA,NA,NA,1095,13.4162,4.8962,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
