"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0265","GDM.0265",NA,"Spain","Gipuzkoa","Troya",NA,43.0344,-2.275956,"Mineral","Galena","Zn-Pb","Pb-Zn",18.595,NA,15.657,NA,38.712,NA,0.842,NA,2.08185,NA,NA,NA,NA,NA,NA,"BCB",NA,"Lim","Strata-bound",NA,NA,NA,NA,NA,NA,130,9.7128,3.9428,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0266","GDM.0266",NA,"Spain","Gipuzkoa","Legorreta",NA,43.0344,-2.275956,"Mineral","Galena","Zn-Pb","Pb-Zn",18.618,NA,15.652,NA,38.782,NA,0.84069,NA,2.08304,NA,NA,NA,NA,NA,NA,"BCB",NA,"Lim","Strata-bound",NA,NA,NA,NA,NA,NA,102,9.6889,3.9617,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0267","GDM.0267",NA,"Spain","Gipuzkoa","Legorreta",NA,43.0344,-2.275956,"Mineral","Galena","Zn-Pb","Pb-Zn",18.553,NA,15.648,NA,38.664,NA,0.84342,NA,2.08398,NA,NA,NA,NA,NA,NA,"BCB",NA,"Lim","Strata-bound",NA,NA,NA,NA,NA,NA,144,9.6863,3.9424,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0268","GDM.0268",NA,"Spain","Gipuzkoa","Otxamentegi",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.442,NA,15.667,NA,38.702,NA,0.84953,NA,2.09858,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,263,9.7844,4.0435,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0269","GDM.0269",NA,"Spain","Gipuzkoa","Otxamentegi",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.421,NA,15.651,NA,38.66,NA,0.84963,NA,2.09869,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,248,9.726,4.0299,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0270","GDM.0270",NA,"Spain","Gipuzkoa","Otxamentegi",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.41,NA,15.649,NA,38.62,NA,0.85003,NA,2.09777,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,253,9.7206,4.0155,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0271","GDM.0271",NA,"Spain","Gipuzkoa","Oportuna",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.457,NA,15.674,NA,38.735,NA,0.84922,NA,2.09866,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,265,9.8087,4.0531,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0272","GDM.0272",NA,"Spain","Gipuzkoa","Oportuna",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.437,NA,15.661,NA,38.625,NA,0.84943,NA,2.09497,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,256,9.7619,4.0041,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0273","GDM.0273",NA,"Spain","Gipuzkoa","Sta. Bárbara",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.444,NA,15.667,NA,38.687,NA,0.84944,NA,2.09754,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,262,9.784,4.0342,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0274","GDM.0274",NA,"Spain","Gipuzkoa","Sta. Bárbara",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.42,NA,15.655,NA,38.68,NA,0.84989,NA,2.09989,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,257,9.742,4.0426,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0275","GDM.0275",NA,"Spain","Gipuzkoa","Sta. Bárbara",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.451,NA,15.699,NA,38.709,NA,0.85085,NA,2.09794,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,317,9.9092,4.0524,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0276","GDM.0276",NA,"Spain","Gipuzkoa","Sta. Bárbara",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.425,NA,15.655,NA,38.69,NA,0.84966,NA,2.09986,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,253,9.7409,4.0445,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0277","GDM.0277",NA,"Spain","Gipuzkoa","Oportuna",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.46,NA,15.682,NA,38.756,NA,0.84951,NA,2.09946,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,278,9.8396,4.065,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0278","GDM.0278",NA,"Spain","Gipuzkoa","Modesta",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.423,NA,15.656,NA,38.657,NA,0.84981,NA,2.0983,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,256,9.7453,4.0287,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0279","GDM.0279",NA,"Spain","Gipuzkoa","Modesta",NA,43.286677,-1.797647,"Mineral","Galena","Zn-Pb","Pb-Zn",18.443,NA,15.662,NA,38.695,NA,0.84921,NA,2.09809,NA,NA,NA,NA,NA,NA,"Py",NA,"Shl","Stratiform",NA,NA,NA,NA,NA,NA,253,9.7645,4.0373,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0280","GDM.0280",NA,"Spain","Burgos","Carmina",NA,42.155484,-3.179407,"Mineral","Galena","Zn-Pb","Pb-Zn",17.816,NA,15.61,NA,37.939,NA,0.87618,NA,2.12949,NA,NA,NA,NA,NA,NA,"NIM",NA,"Shl","Stratiform?",NA,NA,NA,NA,NA,NA,622,9.7229,4.0422,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0281","GDM.0281",NA,"Spain","Burgos","Najerilla",NA,42.155484,-3.179407,"Mineral","Galena","Zn-Pb","Pb-Zn",18.424,NA,15.663,NA,38.717,NA,0.85014,NA,2.10144,NA,NA,NA,NA,NA,NA,"NIM",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,269,9.7727,4.0623,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0282","GDM.0282",NA,"Spain","Burgos","Najerilla",NA,42.155484,-3.179407,"Mineral","Galena","Zn-Pb","Pb-Zn",18.411,NA,15.651,NA,38.686,NA,0.85009,NA,2.10124,NA,NA,NA,NA,NA,NA,"NIM",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,256,9.7283,4.0505,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0283","GDM.0283",NA,"Spain","Burgos","S. Cristobal",NA,42.155484,-3.179407,"Mineral","Galena","Zn-Pb","Pb-Zn",18.24,NA,15.64,NA,38.412,NA,0.85746,NA,2.10592,NA,NA,NA,NA,NA,NA,"NIM",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,362,9.7251,4.0174,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0284","GDM.0284",NA,"Spain","Burgos","S. Cristobal",NA,42.155484,-3.179407,"Mineral","Galena","Zn-Pb","Pb-Zn",18.223,NA,15.626,NA,38.376,NA,0.85749,NA,2.10591,NA,NA,NA,NA,NA,NA,"NIM",NA,"Shl","Vein-type",NA,NA,NA,NA,NA,NA,349,9.6732,4.0047,"Velasco et al., 1996","Ref.022","CSIRO, North Ryde","TIMS",NA,"Geological"
"GDM.0285","GDM.0285","SMJ-1","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.43,NA,15.71,NA,38.633,NA,0.85241,NA,2.0962,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,9.9582,4.0302,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0286","GDM.0286","ATT-3","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.441,NA,15.688,NA,38.633,NA,0.85071,NA,2.09495,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,304,9.8679,4.0152,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0287","GDM.0287","ATT-30","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.462,NA,15.709,NA,38.703,NA,0.85088,NA,2.09636,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,327,9.9464,4.0452,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0288","GDM.0288","ATP-55","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.501,NA,15.708,NA,38.841,NA,0.84904,NA,2.0994,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,297,9.9332,4.0909,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0289","GDM.0289","ATM-8a","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.516,NA,15.727,NA,38.905,NA,0.84937,NA,2.10116,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,321,10.0052,4.1208,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0290","GDM.0290","ATP-10c","Spain","Tarragona",NA,"Atrevida",41.368566,1.071683,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.496,NA,15.682,NA,38.771,NA,0.84786,NA,2.09618,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,252,9.8315,4.0484,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0291","GDM.0291","PF","Spain","Tarragona",NA,"Argentera",41.141524,0.914173,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.525,NA,15.723,NA,38.833,NA,0.84874,NA,2.09625,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,307,9.9871,4.0756,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0292","GDM.0292","209b","Spain","Tarragona",NA,"Argentera",41.141524,0.914173,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.542,NA,15.72,NA,38.833,NA,0.8478,NA,2.09433,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,289,9.9712,4.0631,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0293","GDM.0293","245B","Spain","Tarragona",NA,"Escornalbou",41.110216,0.913256,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.483,NA,15.714,NA,38.769,NA,0.85019,NA,2.09755,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,321,9.9613,4.0675,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0294","GDM.0294","CM37-1-25-b","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.318,NA,15.678,NA,37.534,NA,0.85588,NA,2.04902,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,9.8579,3.5035,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0295","GDM.0295","C-23-b","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.366,NA,15.708,NA,37.629,NA,0.85528,NA,2.04884,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,395,9.9663,3.5349,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0296","GDM.0296","M-37","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.335,NA,15.704,NA,37.622,NA,0.8565,NA,2.05192,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,410,9.9583,3.5486,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0297","GDM.0297","M-36","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.366,NA,15.707,NA,38.609,NA,0.85522,NA,2.1022,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,393,9.9623,4.0601,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0298","GDM.0298","M-43","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.325,NA,15.698,NA,38.588,NA,0.85664,NA,2.10576,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,407,9.9366,4.0741,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0299","GDM.0299","BE-160","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.453,NA,15.704,NA,38.6,NA,0.85103,NA,2.0918,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,9.9287,3.9952,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0300","GDM.0300","BE-9","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.351,NA,15.729,NA,38.649,NA,0.85712,NA,2.1061,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,444,10.0552,4.0995,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0301","GDM.0301","BE-217-1","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.337,NA,15.717,NA,38.62,NA,0.85712,NA,2.10612,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,432,10.0103,4.0895,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0302","GDM.0302","SM-3B","Spain","Girona",NA,"Rigros",41.806708,2.382376,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.678,NA,15.723,NA,39.1,NA,0.84179,NA,2.09337,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,196,9.9528,4.11,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0303","GDM.0303","SM-1B","Spain","Girona",NA,"Rigros",41.806708,2.382376,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.628,NA,15.768,NA,39.1,NA,0.84647,NA,2.09899,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,316,10.1416,4.1599,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0304","GDM.0304","MBG-4b","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.51,NA,15.725,NA,38.951,NA,0.84954,NA,2.10432,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,322,9.9986,4.1484,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0305","GDM.0305","MBG-2b","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.511,NA,15.727,NA,38.942,NA,0.8496,NA,2.10372,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,10.0064,4.1437,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0306","GDM.0306","PA-3A","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.509,NA,15.714,NA,38.888,NA,0.84899,NA,2.10103,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,302,9.9551,4.1122,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0307","GDM.0307","PA-3B","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.495,NA,15.703,NA,38.861,NA,0.84904,NA,2.10116,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,292,9.9147,4.1037,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0308","GDM.0308","PA-7","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.45,NA,15.702,NA,38.863,NA,0.85106,NA,2.1064,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,323,9.9214,4.1355,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological"
"GDM.0309","GDM.0309","1","Spain","Jaen","Linares",NA,38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.21,NA,15.59,NA,38.26,NA,0.8561,NA,2.101,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,290,9.533,3.9376,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological"
"GDM.0310","GDM.0310","2","Spain","Murcia","La Unión",NA,37.608345,-0.853957,"Mineral","Galena",NA,"Pb",18.23,NA,15.65,NA,38.3,NA,0.8585,NA,2.1009,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,388,9.7677,3.9667,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological"
"GDM.0311","GDM.0311","3","Spain","Bizkaia","Legorreta",NA,43.0344,-2.275956,"Mineral","Galena","Zn-Pb","Pb-Zn",18.75,NA,15.62,NA,38.85,NA,0.8331,NA,2.072,NA,NA,NA,NA,NA,NA,"BCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,-64,9.5428,3.8985,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological"
"GDM.0312","GDM.0312","4","Spain","Cantabria","Andara",NA,43.256484,-4.609089,"Mineral","Galena",NA,NA,18.19,NA,15.57,NA,38.21,NA,0.856,NA,2.1006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,266,9.4584,3.9169,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological"
"GDM.0313","GDM.0313","5","Spain","Jaen","Linares",NA,38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.17,NA,15.55,NA,38.14,NA,0.8558,NA,2.0991,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,242,9.384,3.8851,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological"
"GDM.2742","GDM.2742","SD-MCq","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.795,NA,15.581,NA,37.859,NA,0.87558,NA,2.12751,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,586,9.6084,4.0009,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2743","GDM.2743","SD-MC2","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.801,NA,15.601,NA,37.906,NA,0.87641,NA,2.12943,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,617,9.69,4.0309,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2744","GDM.2744","SD-MCz","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.807,NA,15.607,NA,37.93,NA,0.87645,NA,2.13006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,623,9.7132,4.0426,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2745","GDM.2745","SD-MCA-1","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.816,NA,15.61,NA,37.939,NA,0.87618,NA,2.12949,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,622,9.7229,4.0422,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2746","GDM.2746","SD-FSC-1R","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.223,NA,15.626,NA,38.376,NA,0.85749,NA,2.10591,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,349,9.6732,4.0047,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2747","GDM.2747","SD-FSC1","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.231,NA,15.63,NA,38.395,NA,0.85733,NA,2.10603,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,350,9.6872,4.0109,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2748","GDM.2748","SD-FSC-1","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.24,NA,15.64,NA,38.412,NA,0.85746,NA,2.10592,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,362,9.7251,4.0174,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2749","GDM.2749","SD-CL2","Spain","Burgos",NA,"Costa Lusera",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.245,NA,15.664,NA,38.495,NA,0.85854,NA,2.10989,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,403,9.8203,4.0676,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2750","GDM.2750","SD-MP1","Spain","Burgos",NA,"Pinarcito",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.253,NA,15.621,NA,38.93,NA,0.8558,NA,2.1328,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,317,9.646,4.2828,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2751","GDM.2751","SD-MNm","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.41,NA,15.654,NA,38.695,NA,0.8503,NA,2.10185,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,262,9.7404,4.057,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2752","GDM.2752","SD-MN-1R","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.411,NA,15.651,NA,38.686,NA,0.85009,NA,2.10124,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,256,9.7283,4.0505,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2753","GDM.2753","SD-MN5","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.414,NA,15.657,NA,38.698,NA,0.85028,NA,2.10155,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,265,9.7513,4.057,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
"GDM.2754","GDM.2754","SD-MN-1","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.424,NA,15.663,NA,38.717,NA,0.85014,NA,2.10144,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,269,9.7727,4.0623,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological"
