"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0036","Galena","NIM","Pb",18.242,15.646,38.422,0.858,2.106,372,9.75,4.0236,"Dayton and Dayton, 1986","Ref.010",38.33987,-3.732378
"GDM.0037","Galena","OMZ",NA,18.23,15.65,38.33,0.858,2.102,388,9.77,3.9831,"Brill et al, 1987","Ref.011",37.70455,-6.598663
"GDM.0038","Pb mineral","OMZ",NA,18.23,15.62,38.39,0.857,2.106,332,9.65,4.0053,"Brill et al, 1987","Ref.011",37.70455,-6.598663
"GDM.0039","Galena","OMZ",NA,18.18,15.59,38.36,0.858,2.11,312,9.54,4.013,"Brill et al, 1987","Ref.011",37.70455,-6.598663
"GDM.0040","Galena","OMZ",NA,18.2,15.6,38.25,0.857,2.101,316,9.58,3.9425,"Brill et al, 1987","Ref.011",37.70455,-6.598663
"GDM.0053","Galena","BC",NA,18.32,15.66,38.51,0.855,2.102,340,9.79,4.0222,"Brill et al, 1987","Ref.011",36.951676,-2.510098
"GDM.0054","Galena","BC",NA,18.2,15.59,38.17,0.857,2.098,297,9.54,3.8953,"Brill et al, 1987","Ref.011",37.114179,-3.558737
"GDM.0055","Galena","NIM",NA,18.24,15.65,38.42,0.858,2.106,381,9.77,4.0253,"Brill et al, 1987","Ref.011",38.140853,-3.679209
"GDM.0056","Galena","BC",NA,18.34,15.67,38.53,0.855,2.101,344,9.82,4.0228,"Brill et al, 1987","Ref.011",36.951676,-2.510098
"GDM.0057","Silver","BC",NA,17.63,14.98,36.74,0.85,2.084,-699,7.33,3.2314,"Brill et al, 1987","Ref.011",36.951676,-2.510098
"GDM.0058","Galena","NIM",NA,18.38,15.64,38.39,0.851,2.088,258,9.69,3.9105,"Brill et al, 1987","Ref.011",40.688019,-8.490593
"GDM.0059","Galena","OMZ",NA,18.212,15.591,38.173,0.856,2.096,290,9.54,3.8892,"Brill et al, 1987","Ref.011",37.844217,-5.095712
"GDM.0115","Galena","NIM","Pb-Zn",17.903,15.614,38.014,0.872,2.123,565,9.71,4.0239,"Arias, 1988","Ref.012",42.67467,-7.039144
"GDM.0081","Pb mineral","SPZ","Cu-Pb",18.161,15.622,38.16,0.86,2.101,387,9.67,3.9275,"Marcoux et al,1992","Ref.014",37.522091,-6.247384
"GDM.0082","Pb mineral","SPZ","Cu-Pb",18.176,15.61,38.11,0.859,2.097,354,9.62,3.8856,"Marcoux et al,1992","Ref.014",37.522091,-6.247384
"GDM.0083","Pb mineral","SPZ","Cu-Pb",18.199,15.646,38.223,0.86,2.1,404,9.76,3.9444,"Marcoux et al,1992","Ref.014",37.522091,-6.247384
"GDM.0084","Pb mineral","SPZ","Cu-Pb",18.176,15.608,38.113,0.859,2.097,350,9.61,3.8866,"Marcoux et al,1992","Ref.014",37.522091,-6.247384
"GDM.0085","Pb mineral","SPZ","Cu-Pb",18.159,15.61,38.17,0.86,2.102,366,9.62,3.9302,"Marcoux et al,1992","Ref.014",37.604322,-6.858251
"GDM.0086","Pb mineral","SPZ","Cu-Pb",18.166,15.594,38.107,0.858,2.098,331,9.56,3.8852,"Marcoux et al,1992","Ref.014",37.775773,-6.677935
"GDM.0087","Pb mineral","SPZ","Cu-Pb",18.176,15.608,38.176,0.859,2.1,350,9.61,3.9212,"Marcoux et al,1992","Ref.014",37.775773,-6.677935
"GDM.0088","Pb mineral","SPZ","Cu-Pb",18.225,15.633,38.223,0.858,2.097,360,9.7,3.9222,"Marcoux et al,1992","Ref.014",37.616251,-7.291185
"GDM.0089","Pb mineral","SPZ","Cu-Pb",18.198,15.605,38.136,0.858,2.096,328,9.6,3.8833,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0090","Pb mineral","SPZ","Cu-Pb",18.168,15.601,38.128,0.859,2.099,343,9.59,3.8979,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0091","Pb mineral","SPZ","Cu-Pb",18.217,15.646,38.272,0.859,2.101,391,9.76,3.9589,"Marcoux et al,1992","Ref.014",37.806968,-6.928333
"GDM.0092","Pb mineral","SPZ","Cu-Pb",18.189,15.624,38.195,0.859,2.1,370,9.67,3.9283,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0093","Pb mineral","SPZ","Cu-Pb",18.18,15.605,38.079,0.858,2.095,341,9.6,3.8642,"Marcoux et al,1992","Ref.014",37.726143,-6.557999
"GDM.0094","Pb mineral","SPZ","Cu-Pb",18.193,15.607,38.175,0.858,2.098,335,9.6,3.9087,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0095","Pb mineral","SPZ","Cu-Pb",18.207,15.629,38.207,0.858,2.098,366,9.69,3.9243,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
