"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0418","Galena","SPZ",NA,18.169,15.611,38.153,0.859,2.1,361,9.63,3.9144,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0419","Galena","SPZ",NA,18.182,15.624,38.195,0.859,2.101,376,9.68,3.9331,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0420","Galena","SPZ",NA,18.198,15.645,38.268,0.86,2.103,403,9.76,3.9694,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0421","Galena","SPZ",NA,18.191,15.64,38.296,0.86,2.105,399,9.74,3.9879,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0422","Galena","SPZ",NA,18.186,15.631,38.216,0.86,2.101,386,9.7,3.9443,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0423","Galena","SPZ",NA,18.189,15.643,38.32,0.86,2.107,406,9.75,4.0035,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0424","Galena","SPZ",NA,18.198,15.645,38.26,0.86,2.102,403,9.76,3.965,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0425","Galena","SPZ",NA,18.188,15.642,38.313,0.86,2.106,405,9.75,4,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0426","Galena","SPZ",NA,18.205,15.656,38.3,0.86,2.104,418,9.8,3.9859,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0427","Galena","SPZ",NA,18.192,15.639,38.242,0.86,2.102,396,9.73,3.9572,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0428","Galena","SPZ",NA,18.215,15.658,38.32,0.86,2.104,414,9.8,3.9907,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0429","Galena","SPZ",NA,18.186,15.626,38.205,0.859,2.101,376,9.68,3.9365,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0430","Galena","SPZ",NA,18.214,15.65,38.296,0.859,2.103,400,9.77,3.9755,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0431","Ore mix","SPZ",NA,18.19,15.623,38.189,0.859,2.099,368,9.67,3.924,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0432","Ore mix","SPZ",NA,18.196,15.63,38.189,0.859,2.099,376,9.7,3.9223,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0433","Ore mix","SPZ",NA,18.226,15.665,38.334,0.859,2.103,419,9.83,3.9932,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0434","Ore mix","SPZ",NA,18.201,15.655,38.299,0.86,2.104,419,9.8,3.9878,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.0435","Ore mix","SPZ",NA,18.221,15.637,38.247,0.858,2.099,371,9.72,3.9394,"Pomiès et al, 1998","Ref.027",37.701396,-6.607616
"GDM.2963","Galena","NIM","Pb",18.176,15.692,38.452,0.863,2.116,504,9.95,4.1023,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2964","Galena","NIM","Pb",18.262,15.75,38.704,0.862,2.119,544,10.17,4.1994,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2965","Galena","NIM","Pb",18.142,15.657,38.461,0.863,2.12,466,9.82,4.1195,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2966","Galena","NIM","Pb",18.307,15.774,38.669,0.862,2.112,553,10.25,4.1563,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2967","Galena","NIM","Pb",18.075,15.627,38.36,0.865,2.122,461,9.72,4.1008,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2968","Galena","NIM","Pb",18.177,15.663,38.314,0.862,2.108,451,9.83,4.0154,"Roques, 1998","Ref.028",38.888422,-4.933975
"GDM.2603","Galena","NIM","Au",18.639,15.638,38.378,0.839,2.059,58,9.63,3.7372,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2604","Galena","NIM","Au",18.647,15.67,38.481,0.84,2.064,116,9.75,3.7958,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2605","Galena","NIM","Au",18.656,15.658,38.441,0.839,2.061,86,9.7,3.7656,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2606","Galena","NIM","Au",18.564,15.646,38.38,0.843,2.067,131,9.68,3.7879,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2607","Galena","NIM","Au",18.609,15.656,38.422,0.841,2.065,117,9.71,3.7846,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2608","Galena","NIM","Au",18.623,15.672,38.476,0.842,2.066,138,9.77,3.809,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2609","Galena","NIM","Au",18.612,15.658,38.428,0.841,2.065,119,9.71,3.7865,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2610","Silicate","NIM","Au",18.196,15.619,38.333,0.858,2.107,356,9.65,3.9974,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2611","Silicate","NIM","Au",18.229,15.626,38.275,0.857,2.1,344,9.67,3.9454,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2612","Silicate","NIM","Au",18.201,15.62,38.312,0.858,2.105,354,9.65,3.9828,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2613","Silicate","NIM","Au",18.166,15.631,38.349,0.86,2.111,401,9.71,4.0314,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2614","Silicate","NIM","Au",18.932,15.64,38.36,0.826,2.026,-162,9.59,3.5542,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2615","Fe mineral","NIM","Au",18.639,15.637,38.431,0.839,2.062,56,9.63,3.7638,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2616","Fe mineral","NIM","Au",18.618,15.66,38.461,0.841,2.066,118,9.72,3.8003,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2617","Fe mineral","NIM","Au",18.6,15.649,38.39,0.841,2.064,110,9.68,3.7714,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.2618","Fe mineral","NIM","Au",18.763,15.653,38.465,0.834,2.05,-5,9.67,3.7102,"Rosa, 2001","Ref.029",41.493982,-7.522916
"GDM.0480","Fe mineral","NIM","Hg",18.352,15.753,38.604,0.858,2.104,485,10.15,4.0827,"Jébrak et al., 2002","Ref.032",38.72806,-4.67472
"GDM.0481","Fe mineral","NIM","Hg",18.55,15.755,38.781,0.849,2.091,348,10.11,4.0427,"Jébrak et al., 2002","Ref.032",38.72806,-4.67472
"GDM.0482","Fe mineral","NIM","Hg",18.386,15.748,38.594,0.857,2.099,452,10.12,4.0523,"Jébrak et al., 2002","Ref.032",38.72806,-4.67472
"GDM.0483","Fe mineral","NIM","Hg",18.381,15.702,38.492,0.854,2.094,373,9.94,3.9855,"Jébrak et al., 2002","Ref.032",38.72806,-4.67472
"GDM.0484","Fe mineral","NIM","Hg",18.458,15.726,38.591,0.852,2.091,361,10.02,3.9946,"Jébrak et al., 2002","Ref.032",38.72806,-4.67472
"GDM.0485","Galena","OMZ","Cu-Pb",17.921,15.555,38.018,0.868,2.121,442,9.46,3.9928,"Marcoux&Sáez, 2002","Ref.033",38.02179,-5.189735
"GDM.0486","Galena","SPZ","Cu-Pb",17.539,15.531,37.637,0.886,2.146,688,9.48,4.0416,"Marcoux&Sáez, 2002","Ref.033",37.918507,-6.665262
"GDM.0487","Galena","SPZ","Cu-Pb",17.491,15.47,37.406,0.884,2.139,614,9.24,3.9151,"Marcoux&Sáez, 2002","Ref.033",37.891838,-6.483983
"GDM.0488","Galena","SPZ","Cu-Pb",17.503,15.485,37.449,0.885,2.14,632,9.3,3.9377,"Marcoux&Sáez, 2002","Ref.033",37.891838,-6.483983
"GDM.0489","Pb mineral","OMZ","Cu-Pb",17.814,15.577,37.372,0.874,2.098,564,9.59,3.7012,"Marcoux&Sáez, 2002","Ref.033",38.661302,-6.108146
"GDM.0490","Pb mineral","OMZ","Cu-Pb",17.819,15.587,37.404,0.875,2.099,578,9.63,3.7197,"Marcoux&Sáez, 2002","Ref.033",38.661302,-6.108146
"GDM.0491","Pb mineral","SPZ","Cu-Pb",17.698,15.522,37.679,0.877,2.129,551,9.39,3.9452,"Marcoux&Sáez, 2002","Ref.033",37.743592,-6.60557
"GDM.0492","Pb mineral","SPZ","Cu-Pb",17.741,15.524,37.729,0.875,2.127,522,9.39,3.9442,"Marcoux&Sáez, 2002","Ref.033",37.743592,-6.60557
"GDM.0493","Pb mineral","OMZ","Cu-Pb",18.055,15.566,38.159,0.862,2.113,361,9.47,3.981,"Marcoux&Sáez, 2002","Ref.033",37.952225,-6.349367
"GDM.0494","Pb mineral","OMZ","Cu-Pb",18.068,15.567,38.174,0.862,2.113,353,9.48,3.9806,"Marcoux&Sáez, 2002","Ref.033",37.952225,-6.349367
"GDM.2637","Ore mix","SPZ","Cu",18.16,15.633,38.25,0.861,2.106,409,9.72,3.9816,"Ruiz et al., 2002","Ref.034",37.551111,-6.845833
"GDM.2638","Ore mix","SPZ","Cu",18.154,15.628,38.246,0.861,2.107,404,9.7,3.9819,"Ruiz et al., 2002","Ref.034",37.551111,-6.845833
"GDM.2639","Ore mix","SPZ","Cu",18.157,15.631,38.256,0.861,2.107,407,9.71,3.9863,"Ruiz et al., 2002","Ref.034",37.551111,-6.845833
"GDM.0495","W mineral","OMZ","W",18.323,15.598,38.389,0.851,2.095,219,9.54,3.9333,"Chiaradia, 2003","Ref.035",38.29015,-6.942411
"GDM.0496","W mineral","OMZ","W",18.283,15.597,38.331,0.853,2.097,248,9.54,3.9288,"Chiaradia, 2003","Ref.035",38.29015,-6.942411
"GDM.0497","Galena","NIM","Pb-Zn",18.168,15.601,38.303,0.859,2.108,343,9.59,3.9941,"García de Madinabeitia, 2003","Ref.036",38.884193,-5.505525
"GDM.0498","Galena","NIM","Pb-Zn",18.186,15.613,38.333,0.859,2.108,352,9.63,4.0022,"García de Madinabeitia, 2003","Ref.036",38.586027,-5.505919
"GDM.0499","Galena","NIM","Pb-Zn",18.21,15.614,38.319,0.857,2.104,336,9.63,3.9783,"García de Madinabeitia, 2003","Ref.036",38.411112,-5.473607
"GDM.0500","Galena","NIM","Pb-Zn",18.162,15.595,38.29,0.859,2.108,336,9.56,3.989,"García de Madinabeitia, 2003","Ref.036",38.603071,-5.513397
"GDM.0501","Galena","NIM","Pb-Zn",18.236,15.619,38.349,0.856,2.103,326,9.64,3.9785,"García de Madinabeitia, 2003","Ref.036",38.603071,-5.513397
"GDM.0502","Galena","NIM","Pb-Zn",18.224,15.603,38.312,0.856,2.102,304,9.58,3.9609,"García de Madinabeitia, 2003","Ref.036",38.206914,-3.71658
"GDM.0503","Galena","NIM","Pb-Zn",18.302,15.649,38.474,0.855,2.102,333,9.75,4.0114,"García de Madinabeitia, 2003","Ref.036",38.343173,-3.711876
"GDM.0504","Galena","NIM","Pb-Zn",18.211,15.619,38.357,0.858,2.106,344,9.65,4.0001,"García de Madinabeitia, 2003","Ref.036",38.161467,-3.692611
"GDM.0505","Galena","NIM","Pb-Zn",18.211,15.618,38.356,0.858,2.106,343,9.64,3.9992,"García de Madinabeitia, 2003","Ref.036",38.949701,-3.678886
"GDM.0506","Galena","NIM","Pb-Zn",18.273,15.645,38.44,0.856,2.104,347,9.74,4.0116,"García de Madinabeitia, 2003","Ref.036",38.628419,-3.669709
"GDM.0507","Galena","NIM","Pb-Zn",18.283,15.613,38.369,0.854,2.099,279,9.61,3.955,"García de Madinabeitia, 2003","Ref.036",38.522219,-3.663989
"GDM.0508","Galena","NIM","Pb-Zn",18.231,15.605,38.319,0.856,2.102,303,9.59,3.9607,"García de Madinabeitia, 2003","Ref.036",38.849721,-3.654911
"GDM.0509","Galena","NIM","Pb-Zn",18.239,15.619,38.365,0.856,2.103,323,9.64,3.9851,"García de Madinabeitia, 2003","Ref.036",38.849721,-3.654911
"GDM.0510","Galena","NIM","Pb-Zn",18.293,15.627,38.412,0.854,2.1,298,9.66,3.9763,"García de Madinabeitia, 2003","Ref.036",38.905313,-3.650355
"GDM.0511","Galena","NIM","Pb-Zn",18.205,15.609,38.324,0.857,2.105,330,9.61,3.9827,"García de Madinabeitia, 2003","Ref.036",38.800554,-3.640071
"GDM.0512","Galena","NIM","Pb-Zn",18.263,15.616,38.364,0.855,2.101,300,9.62,3.967,"García de Madinabeitia, 2003","Ref.036",38.288219,-3.63786
"GDM.0513","Galena","NIM","Pb-Zn",18.198,15.602,38.3,0.857,2.105,322,9.58,3.972,"García de Madinabeitia, 2003","Ref.036",38.129324,-3.627568
"GDM.0514","Galena","NIM","Pb-Zn",18.192,15.597,38.284,0.857,2.104,317,9.56,3.9656,"García de Madinabeitia, 2003","Ref.036",38.078157,-3.618432
"GDM.0515","Galena","NIM","Pb-Zn",18.291,15.625,38.376,0.854,2.098,296,9.65,3.9576,"García de Madinabeitia, 2003","Ref.036",38.813,-3.604979
"GDM.0516","Galena","NIM","Pb-Zn",18.19,15.596,38.284,0.857,2.105,316,9.56,3.9666,"García de Madinabeitia, 2003","Ref.036",38.468943,-3.665424
"GDM.0517","Galena","NIM","Pb-Zn",18.192,15.598,38.287,0.857,2.105,319,9.57,3.9676,"García de Madinabeitia, 2003","Ref.036",38.446802,-3.457588
"GDM.0518","Galena","NIM","Pb-Zn",18.248,15.617,38.355,0.856,2.102,313,9.63,3.9728,"García de Madinabeitia, 2003","Ref.036",38.450698,-3.571992
"GDM.0519","Galena","NIM","Pb-Zn",18.203,15.6,38.311,0.857,2.105,314,9.57,3.9738,"García de Madinabeitia, 2003","Ref.036",38.450698,-3.571992
"GDM.0520","Galena","NIM","Pb-Zn",18.199,15.605,38.312,0.857,2.105,327,9.6,3.9789,"García de Madinabeitia, 2003","Ref.036",38.25953,-3.576411
"GDM.0521","Galena","NIM","Pb-Zn",18.204,15.618,38.351,0.858,2.107,348,9.65,4.0014,"García de Madinabeitia, 2003","Ref.036",38.256812,-3.58556
"GDM.0522","Galena","NIM","Pb-Zn",18.203,15.609,38.323,0.857,2.105,331,9.61,3.9836,"García de Madinabeitia, 2003","Ref.036",38.926899,-3.602669
"GDM.0523","Galena","NIM","Pb-Zn",18.262,15.633,38.394,0.856,2.102,333,9.69,3.99,"García de Madinabeitia, 2003","Ref.036",38.870701,-3.609523
"GDM.0524","Galena","NIM","Pb-Zn",18.243,15.63,38.392,0.857,2.104,341,9.68,4.0009,"García de Madinabeitia, 2003","Ref.036",38.188873,-3.630153
"GDM.0525","Galena","NIM","Pb-Zn",18.203,15.601,38.303,0.857,2.104,316,9.58,3.9698,"García de Madinabeitia, 2003","Ref.036",38.872507,-3.687442
"GDM.0526","Galena","NIM","Pb-Zn",18.469,15.636,38.618,0.847,2.091,183,9.66,3.9699,"García de Madinabeitia, 2003","Ref.036",38.30675,-4.431864
"GDM.0527","Galena","NIM","Pb-Zn",18.464,15.642,38.645,0.847,2.093,199,9.68,3.9896,"García de Madinabeitia, 2003","Ref.036",38.923668,-4.439258
"GDM.0528","Galena","NIM","Pb-Zn",18.442,15.629,38.576,0.847,2.092,190,9.64,3.9635,"García de Madinabeitia, 2003","Ref.036",38.741951,-4.46551
"GDM.0529","Galena","NIM","Pb-Zn",18.452,15.636,38.605,0.847,2.092,196,9.66,3.9745,"García de Madinabeitia, 2003","Ref.036",38.852631,-4.462115
"GDM.0530","Galena","NIM","Pb-Zn",18.297,15.632,38.364,0.854,2.097,305,9.68,3.9495,"García de Madinabeitia, 2003","Ref.036",38.161852,-4.656701
"GDM.0531","Galena","NIM","Pb-Zn",18.231,15.609,38.324,0.856,2.102,310,9.6,3.9648,"García de Madinabeitia, 2003","Ref.036",38.463512,-4.994341
"GDM.0532","Galena","NIM","Pb-Zn",18.255,15.616,38.345,0.855,2.1,306,9.63,3.9622,"García de Madinabeitia, 2003","Ref.036",38.433,-4.998217
"GDM.0533","Galena","NIM","Pb-Zn",18.24,15.611,38.324,0.856,2.101,307,9.61,3.9593,"García de Madinabeitia, 2003","Ref.036",38.433,-4.998217
"GDM.0534","Galena","OMZ","Pb-Zn",18.251,15.622,38.33,0.856,2.1,320,9.65,3.9589,"García de Madinabeitia, 2003","Ref.036",38.196908,-5.070955
"GDM.0535","Galena","NIM","Pb-Zn",17.986,15.638,38.227,0.869,2.125,546,9.79,4.094,"García de Madinabeitia, 2003","Ref.036",38.998556,-4.491415
"GDM.0536","Galena","NIM","Pb-Zn",17.986,15.631,38.14,0.869,2.121,534,9.76,4.0421,"García de Madinabeitia, 2003","Ref.036",38.971761,-4.352339
"GDM.0537","Galena","NIM","Pb-Zn",17.987,15.629,38.144,0.869,2.121,529,9.75,4.043,"García de Madinabeitia, 2003","Ref.036",38.971761,-4.352339
"GDM.0538","Galena","NIM","Pb-Zn",18.02,15.642,38.234,0.868,2.122,528,9.79,4.0748,"García de Madinabeitia, 2003","Ref.036",38.542192,-4.316339
"GDM.0539","Galena","NIM","Pb-Zn",18.073,15.672,38.31,0.867,2.12,543,9.9,4.0898,"García de Madinabeitia, 2003","Ref.036",38.845423,-3.942543
"GDM.0540","Galena","NIM","Pb-Zn",18.071,15.67,38.303,0.867,2.12,541,9.89,4.0866,"García de Madinabeitia, 2003","Ref.036",38.845423,-3.942543
"GDM.0541","Galena","NIM","Pb-Zn",18.059,15.665,38.283,0.867,2.12,541,9.88,4.0822,"García de Madinabeitia, 2003","Ref.036",38.052392,-3.942244
"GDM.0542","Galena","NIM","Pb-Zn",18.074,15.673,38.313,0.867,2.12,544,9.9,4.0911,"García de Madinabeitia, 2003","Ref.036",38.052392,-3.942244
"GDM.0543","Galena","NIM","Pb-Zn",18.064,15.665,38.29,0.867,2.12,537,9.87,4.0826,"García de Madinabeitia, 2003","Ref.036",38.655268,-3.943303
"GDM.0544","Galena","NIM","Pb-Zn",18.036,15.651,38.241,0.868,2.12,533,9.83,4.0703,"García de Madinabeitia, 2003","Ref.036",38.655268,-3.943303
"GDM.0545","Galena","NIM","Pb-Zn",18.072,15.673,38.312,0.867,2.12,546,9.91,4.092,"García de Madinabeitia, 2003","Ref.036",38.651683,-3.948389
"GDM.0546","Galena","NIM","Pb-Zn",18.014,15.632,38.214,0.868,2.121,515,9.75,4.0643,"García de Madinabeitia, 2003","Ref.036",38.039137,-4.143351
"GDM.0547","Galena","NIM","Pb-Zn",18.029,15.644,38.209,0.868,2.119,525,9.8,4.0548,"García de Madinabeitia, 2003","Ref.036",38.712659,-3.974835
"GDM.0548","Galena","NIM","Pb-Zn",18.069,15.669,38.317,0.867,2.121,541,9.89,4.0956,"García de Madinabeitia, 2003","Ref.036",38.461139,-4.078112
"GDM.0549","Galena","NIM","Pb-Zn",18.052,15.657,38.265,0.867,2.12,532,9.85,4.0744,"García de Madinabeitia, 2003","Ref.036",38.920769,-3.967433
"GDM.0550","Galena","NIM","Pb-Zn",18.072,15.688,38.214,0.868,2.115,572,9.97,4.0418,"García de Madinabeitia, 2003","Ref.036",38.920492,-4.24306
"GDM.0551","Galena","NIM","Pb-Zn",18.056,15.683,38.208,0.869,2.116,575,9.95,4.0481,"García de Madinabeitia, 2003","Ref.036",38.682103,-3.928454
"GDM.0552","Galena","NIM","Pb-Zn",18.05,15.681,38.201,0.869,2.116,576,9.95,4.0478,"García de Madinabeitia, 2003","Ref.036",38.427777,-3.855574
"GDM.0553","Galena","NIM","Pb-Zn",18.045,15.683,38.202,0.869,2.117,583,9.96,4.0526,"García de Madinabeitia, 2003","Ref.036",38.427777,-3.855574
"GDM.0554","Galena","NIM","Pb-Zn",18.092,15.685,38.269,0.867,2.115,552,9.95,4.0576,"García de Madinabeitia, 2003","Ref.036",38.722878,-3.793122
"GDM.0555","Galena","NIM","Pb-Zn",18.093,15.684,38.27,0.867,2.115,550,9.94,4.0571,"García de Madinabeitia, 2003","Ref.036",38.323779,-3.777163
"GDM.0556","Galena","NIM","Pb-Zn",18.008,15.67,38.189,0.87,2.121,587,9.91,4.0673,"García de Madinabeitia, 2003","Ref.036",38.784776,-4.275004
"GDM.0557","Galena","NIM","Pb-Zn",18.045,15.686,38.294,0.869,2.122,588,9.97,4.1056,"García de Madinabeitia, 2003","Ref.036",38.361218,-4.108907
"GDM.0558","Galena","NIM","Pb-Zn",18.002,15.652,38.163,0.869,2.12,560,9.84,4.0508,"García de Madinabeitia, 2003","Ref.036",38.755916,-3.916543
"GDM.0559","Galena","NIM","Pb-Zn",18.008,15.66,38.188,0.87,2.121,569,9.87,4.0634,"García de Madinabeitia, 2003","Ref.036",38.427863,-4.102683
"GDM.0560","Galena","NIM","Pb-Zn",17.787,15.58,37.757,0.876,2.123,590,9.61,3.9465,"García de Madinabeitia, 2003","Ref.036",38.466272,-4.296826
"GDM.0561","Galena","NIM","Pb-Zn",17.777,15.584,37.792,0.877,2.126,604,9.63,3.9756,"García de Madinabeitia, 2003","Ref.036",38.188684,-4.262142
"GDM.0562","Galena","NIM","Pb-Zn",17.789,15.577,37.777,0.876,2.124,583,9.59,3.9558,"García de Madinabeitia, 2003","Ref.036",38.422818,-4.19957
"GDM.0563","Galena","NIM","Pb-Zn",17.752,15.574,37.733,0.877,2.126,605,9.59,3.9556,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962
"GDM.0564","Galena","NIM","Pb-Zn",17.773,15.594,37.804,0.877,2.127,625,9.67,3.989,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962
"GDM.0565","Galena","NIM","Pb-Zn",17.755,15.575,37.736,0.877,2.125,605,9.6,3.9555,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962
"GDM.0566","Galena","NIM","Pb-Zn",17.759,15.579,37.752,0.877,2.126,609,9.61,3.9634,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962
"GDM.0567","Galena","NIM","Pb-Zn",17.762,15.572,37.729,0.877,2.124,594,9.58,3.9453,"García de Madinabeitia, 2003","Ref.036",38.618609,-4.174586
"GDM.0568","Galena","NIM","Pb-Zn",17.983,15.615,38.067,0.868,2.117,507,9.69,3.9972,"García de Madinabeitia, 2003","Ref.036",38.768327,-3.954706
"GDM.0569","Galena","NIM","Pb-Zn",17.99,15.624,39.1,0.869,2.173,518,9.73,4.5825,"García de Madinabeitia, 2003","Ref.036",38.768327,-3.954706
"GDM.0570","Galena","NIM","Pb-Zn",17.76,15.577,37.748,0.877,2.125,605,9.6,3.9597,"García de Madinabeitia, 2003","Ref.036",38.666082,-4.100596
"GDM.0571","Galena","NIM","Pb-Zn",17.734,15.558,37.669,0.877,2.124,590,9.53,3.9254,"García de Madinabeitia, 2003","Ref.036",38.314269,-4.20455
"GDM.0572","Galena","NIM","Pb-Zn",17.751,15.568,37.703,0.877,2.124,595,9.57,3.9366,"García de Madinabeitia, 2003","Ref.036",38.494521,-4.09215
"GDM.0573","Galena","NIM","Pb-Zn",18.14,15.591,38.203,0.859,2.106,345,9.55,3.9549,"García de Madinabeitia, 2003","Ref.036",38.896891,-4.423674
"GDM.0574","Galena","NIM","Pb-Zn",18.142,15.582,38.172,0.859,2.104,326,9.52,3.9332,"García de Madinabeitia, 2003","Ref.036",38.355956,-4.424071
"GDM.0575","Galena","NIM","Pb-Zn",18.138,15.598,38.21,0.86,2.107,359,9.58,3.9626,"García de Madinabeitia, 2003","Ref.036",38.648956,-4.411494
"GDM.0576","Galena","NIM","Pb-Zn",18.112,15.577,38.146,0.86,2.106,339,9.5,3.9378,"García de Madinabeitia, 2003","Ref.036",38.948808,-4.3879
"GDM.0577","Galena","NIM","Pb-Zn",18.246,15.616,38.518,0.856,2.111,312,9.63,4.0623,"García de Madinabeitia, 2003","Ref.036",38.99024,-4.288287
"GDM.0578","Galena","NIM","Pb-Zn",18.126,15.596,38.214,0.86,2.108,365,9.58,3.9725,"García de Madinabeitia, 2003","Ref.036",38.99024,-4.288287
"GDM.0579","Galena","NIM","Pb-Zn",18.219,15.642,38.362,0.859,2.106,382,9.74,4.0054,"García de Madinabeitia, 2003","Ref.036",38.935374,-4.284057
"GDM.0580","Galena","NIM","Pb-Zn",18.183,15.638,38.366,0.86,2.11,401,9.73,4.0313,"García de Madinabeitia, 2003","Ref.036",38.728702,-4.219295
"GDM.0581","Galena","NIM","Pb-Zn",18.196,15.612,38.266,0.858,2.103,342,9.62,3.9583,"García de Madinabeitia, 2003","Ref.036",38.330419,-4.321981
"GDM.0582","Galena","NIM","Pb-Zn",18.207,15.623,38.321,0.858,2.105,355,9.67,3.9846,"García de Madinabeitia, 2003","Ref.036",38.812368,-4.240593
"GDM.0583","Galena","NIM","Pb-Zn",18.212,15.624,38.326,0.858,2.104,353,9.67,3.9843,"García de Madinabeitia, 2003","Ref.036",38.812368,-4.240593
"GDM.0584","Galena","NIM","Pb-Zn",18.193,15.615,38.31,0.858,2.106,350,9.64,3.9855,"García de Madinabeitia, 2003","Ref.036",38.746015,-4.215456
"GDM.0585","Galena","NIM","Pb-Zn",18.197,15.619,38.318,0.858,2.106,355,9.65,3.9885,"García de Madinabeitia, 2003","Ref.036",38.285877,-4.268967
"GDM.0586","Galena","NIM","Pb-Zn",18.212,15.619,38.319,0.858,2.104,344,9.65,3.9787,"García de Madinabeitia, 2003","Ref.036",38.285877,-4.268967
"GDM.0587","Galena","NIM","Pb-Zn",18.174,15.616,38.306,0.859,2.108,366,9.65,3.9968,"García de Madinabeitia, 2003","Ref.036",38.460002,-4.225815
"GDM.0588","Galena","NIM","Pb-Zn",18.201,15.622,38.309,0.858,2.105,358,9.66,3.9819,"García de Madinabeitia, 2003","Ref.036",38.460002,-4.225815
"GDM.0589","Galena","NIM","Pb-Zn",18.2,15.625,38.33,0.859,2.106,364,9.67,3.9951,"García de Madinabeitia, 2003","Ref.036",38.254805,-4.221956
"GDM.0590","Galena","NIM","Pb-Zn",18.24,15.637,38.386,0.857,2.104,357,9.71,4.0022,"García de Madinabeitia, 2003","Ref.036",38.243997,-4.233115
"GDM.0591","Galena","NIM","Pb-Zn",18.195,15.633,38.363,0.859,2.108,383,9.71,4.0195,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262
"GDM.0592","Galena","NIM","Pb-Zn",18.192,15.612,38.311,0.858,2.106,345,9.62,3.9857,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262
"GDM.0593","Galena","NIM","Pb-Zn",18.174,15.618,38.31,0.859,2.108,370,9.65,3.9997,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262
"GDM.0594","Galena","NIM","Pb-Zn",18.165,15.624,38.288,0.86,2.108,388,9.68,3.996,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262
"GDM.0595","Galena","NIM","Pb-Zn",18.175,15.612,38.292,0.859,2.107,358,9.63,3.987,"García de Madinabeitia, 2003","Ref.036",38.243581,-4.348859
"GDM.0596","Galena","NIM","Pb-Zn",18.188,15.601,38.288,0.858,2.105,327,9.58,3.9719,"García de Madinabeitia, 2003","Ref.036",38.525529,-4.358607
"GDM.0597","Galena","NIM","Pb-Zn",18.185,15.593,38.265,0.858,2.104,314,9.55,3.9586,"García de Madinabeitia, 2003","Ref.036",38.939783,-4.443743
"GDM.0598","Galena","NIM","Pb-Zn",18.185,15.6,38.276,0.858,2.105,328,9.58,3.9671,"García de Madinabeitia, 2003","Ref.036",38.939783,-4.443743
"GDM.0599","Galena","NIM","Pb-Zn",18.183,15.593,38.261,0.858,2.104,316,9.55,3.9578,"García de Madinabeitia, 2003","Ref.036",38.039504,-4.437205
