"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.0011","GDM.0011","K31","Spain","Murcia","Cartagena","Julio Cesar",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.752,NA,15.696,NA,38.936,NA,0.83703,NA,2.07637,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,89,9.833,3.9683,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
"GDM.0012","GDM.0012","K10","Spain","Murcia","Cartagena","Confianza",37.279147,-1.762047,"Mineral","Galena","Zn-Pb","Zn-Pb",18.76,NA,15.707,NA,39.009,NA,0.83726,NA,2.07937,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,105,9.874,4.0038,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
"GDM.0013","GDM.0013","419","Spain","Murcia","Cartagena","Secretario",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.748,NA,15.715,NA,38.981,NA,0.83822,NA,2.07921,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,129,9.9073,4.0004,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
"GDM.0014","GDM.0014","238","Spain","Murcia","Cartagena","Rajado",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.762,NA,15.709,NA,38.96,NA,0.83728,NA,2.07654,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,107,9.8813,3.9786,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
"GDM.0016","GDM.0016","C105B","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.21,NA,15.62,NA,38.49,NA,0.8578,NA,2.1137,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,347,9.6524,4.0739,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Northern branch of the Iberian Massif"
"GDM.0017","GDM.0017","C106","Spain","Huelva","Huelva",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.28,NA,15.59,NA,38.4,NA,0.8533,NA,2.1018,NA,NA,NA,NA,NA,NA,"SPZ","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,236,9.5171,3.9655,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","South Portuguese Zone"
"GDM.0018","GDM.0018","C105A","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.27,NA,15.65,NA,38.72,NA,0.8566,NA,2.1193,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,359,9.7577,4.1673,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Northern branch of the Iberian Massif"
"GDM.0019","GDM.0019","C107","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.35,NA,15.72,NA,38.8,NA,0.8567,NA,2.1144,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,428,10.019,4.1784,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Northern branch of the Iberian Massif"
"GDM.0021","GDM.0021",NA,"Spain","Jaén","La Carolina","La Carolina. Los Linares",38.296034,-3.598455,"Mineral","Galena",NA,NA,18.258,NA,15.671,NA,38.525,NA,0.85833,NA,2.11006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,406,9.8451,4.0773,"Gale, 1980","Ref.008","U. Oxford","TIMS","Cited in Dayton and Dayton, 1986","Geological","Northern branch of the Iberian Massif"
"GDM.0022","GDM.0022",NA,"Spain","Huelva","Rio Tinto","Corta Lago",37.715398,-6.583105,"Mineral","Fe mineral","Jarosite, Ore",NA,18.317,NA,15.625,NA,38.431,NA,0.85303,NA,2.0981,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,276,9.6469,3.9695,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Geological","Ossa Morena Zone"
