"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.0292","GDM.0292","209b","Spain","Tarragona",NA,"Argentera",41.141524,0.914173,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.542,NA,15.72,NA,38.833,NA,0.8478,NA,2.09433,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,289,9.9712,4.0631,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0293","GDM.0293","245B","Spain","Tarragona",NA,"Escornalbou",41.110216,0.913256,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.483,NA,15.714,NA,38.769,NA,0.85019,NA,2.09755,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,321,9.9613,4.0675,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0294","GDM.0294","CM37-1-25-b","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.318,NA,15.678,NA,37.534,NA,0.85588,NA,2.04902,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,9.8579,3.5035,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0295","GDM.0295","C-23-b","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.366,NA,15.708,NA,37.629,NA,0.85528,NA,2.04884,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,395,9.9663,3.5349,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0296","GDM.0296","M-37","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.335,NA,15.704,NA,37.622,NA,0.8565,NA,2.05192,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,410,9.9583,3.5486,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0297","GDM.0297","M-36","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.366,NA,15.707,NA,38.609,NA,0.85522,NA,2.1022,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,393,9.9623,4.0601,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0298","GDM.0298","M-43","Spain","Barcelona",NA,"Martorell",41.461788,1.927145,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.325,NA,15.698,NA,38.588,NA,0.85664,NA,2.10576,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,407,9.9366,4.0741,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0299","GDM.0299","BE-160","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.453,NA,15.704,NA,38.6,NA,0.85103,NA,2.0918,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,9.9287,3.9952,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0300","GDM.0300","BE-9","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.351,NA,15.729,NA,38.649,NA,0.85712,NA,2.1061,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,444,10.0552,4.0995,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0301","GDM.0301","BE-217-1","Spain","Tarragona",NA,"Belmunt",41.161937,0.75919,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.337,NA,15.717,NA,38.62,NA,0.85712,NA,2.10612,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,432,10.0103,4.0895,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0302","GDM.0302","SM-3B","Spain","Girona",NA,"Rigros",41.806708,2.382376,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.678,NA,15.723,NA,39.1,NA,0.84179,NA,2.09337,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,196,9.9528,4.11,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0303","GDM.0303","SM-1B","Spain","Girona",NA,"Rigros",41.806708,2.382376,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.628,NA,15.768,NA,39.1,NA,0.84647,NA,2.09899,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,316,10.1416,4.1599,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0304","GDM.0304","MBG-4b","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.51,NA,15.725,NA,38.951,NA,0.84954,NA,2.10432,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,322,9.9986,4.1484,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0305","GDM.0305","MBG-2b","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.511,NA,15.727,NA,38.942,NA,0.8496,NA,2.10372,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,10.0064,4.1437,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0306","GDM.0306","PA-3A","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.509,NA,15.714,NA,38.888,NA,0.84899,NA,2.10103,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,302,9.9551,4.1122,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0307","GDM.0307","PA-3B","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.495,NA,15.703,NA,38.861,NA,0.84904,NA,2.10116,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,292,9.9147,4.1037,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0308","GDM.0308","PA-7","Spain","Barcelona",NA,"Berta",41.451957,2.015166,"Mineral","Galena","Ba-F-Pb-Zn","Pb-Zn",18.45,NA,15.702,NA,38.863,NA,0.85106,NA,2.1064,NA,NA,NA,NA,NA,NA,"CCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,323,9.9214,4.1355,"Canals &Cardellach, 1997","Ref.023","LDEO, Columbia University, New York","TIMS",NA,"Geological","Catalonian Coastal Ranges"
"GDM.0309","GDM.0309","1","Spain","Jaen","Linares",NA,38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.21,NA,15.59,NA,38.26,NA,0.8561,NA,2.101,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,290,9.533,3.9376,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.0310","GDM.0310","2","Spain","Murcia","La Unión",NA,37.608345,-0.853957,"Mineral","Galena",NA,"Pb",18.23,NA,15.65,NA,38.3,NA,0.8585,NA,2.1009,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,388,9.7677,3.9667,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological","Betic Cordillera"
"GDM.0311","GDM.0311","3","Spain","Bizkaia","Legorreta",NA,43.0344,-2.275956,"Mineral","Galena","Zn-Pb","Pb-Zn",18.75,NA,15.62,NA,38.85,NA,0.8331,NA,2.072,NA,NA,NA,NA,NA,NA,"BCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,-64,9.5428,3.8985,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological","Basque Cantabrian Basin"
"GDM.0312","GDM.0312","4","Spain","Cantabria","Andara",NA,43.256484,-4.609089,"Mineral","Galena",NA,NA,18.19,NA,15.57,NA,38.21,NA,0.856,NA,2.1006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,266,9.4584,3.9169,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.0313","GDM.0313","5","Spain","Jaen","Linares",NA,38.140853,-3.679209,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.17,NA,15.55,NA,38.14,NA,0.8558,NA,2.0991,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,242,9.384,3.8851,"Fernández Díaz & Quejido Cabezas, 1997","Ref.024","CIEMAT, Madrid","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2742","GDM.2742","SD-MCq","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.795,NA,15.581,NA,37.859,NA,0.87558,NA,2.12751,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,586,9.6084,4.0009,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2743","GDM.2743","SD-MC2","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.801,NA,15.601,NA,37.906,NA,0.87641,NA,2.12943,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,617,9.69,4.0309,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2744","GDM.2744","SD-MCz","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.807,NA,15.607,NA,37.93,NA,0.87645,NA,2.13006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,623,9.7132,4.0426,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2745","GDM.2745","SD-MCA-1","Spain","Burgos",NA,"Carmina",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",17.816,NA,15.61,NA,37.939,NA,0.87618,NA,2.12949,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,622,9.7229,4.0422,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2746","GDM.2746","SD-FSC-1R","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.223,NA,15.626,NA,38.376,NA,0.85749,NA,2.10591,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,349,9.6732,4.0047,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2747","GDM.2747","SD-FSC1","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.231,NA,15.63,NA,38.395,NA,0.85733,NA,2.10603,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,350,9.6872,4.0109,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2748","GDM.2748","SD-FSC-1","Spain","Burgos",NA,"San Cristobal",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.24,NA,15.64,NA,38.412,NA,0.85746,NA,2.10592,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,362,9.7251,4.0174,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2749","GDM.2749","SD-CL2","Spain","Burgos",NA,"Costa Lusera",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.245,NA,15.664,NA,38.495,NA,0.85854,NA,2.10989,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,403,9.8203,4.0676,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2750","GDM.2750","SD-MP1","Spain","Burgos",NA,"Pinarcito",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.253,NA,15.621,NA,38.93,NA,0.8558,NA,2.1328,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,317,9.646,4.2828,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2751","GDM.2751","SD-MNm","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.41,NA,15.654,NA,38.695,NA,0.8503,NA,2.10185,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,262,9.7404,4.057,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2752","GDM.2752","SD-MN-1R","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.411,NA,15.651,NA,38.686,NA,0.85009,NA,2.10124,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,256,9.7283,4.0505,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2753","GDM.2753","SD-MN5","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.414,NA,15.657,NA,38.698,NA,0.85028,NA,2.10155,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,265,9.7513,4.057,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.2754","GDM.2754","SD-MN-1","Spain","Burgos",NA,"Najerilla",42.155484,-3.179407,"Mineral","Galena",NA,"Pb",18.424,NA,15.663,NA,38.717,NA,0.85014,NA,2.10144,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,269,9.7727,4.0623,"Ibañez Gómez, 1998","Ref.025","U. Tasmania","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.0314","GDM.0314",NA,"Portugal","Beja",NA,"Sao Domingos",37.668632,-7.498661,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.163,NA,15.63,NA,38.228,NA,0.86054,NA,2.10472,NA,1548,NA,NA,NA,NA,"SPZ","351",NA,"Massive pyritic ore (MSB)",NA,NA,NA,NA,NA,NA,401,9.7044,3.9664,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0315","GDM.0315",NA,"Portugal","Beja",NA,"Sao Domingos",37.668632,-7.498661,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.175,NA,15.62,NA,38.205,NA,0.85942,NA,2.10206,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive pyritic ore (MSB)",NA,NA,NA,NA,NA,NA,373,9.6611,3.942,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0316","GDM.0316",NA,"Portugal","Beja",NA,"Sao Domingos",37.668632,-7.498661,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.188,NA,15.637,NA,38.213,NA,0.85974,NA,2.101,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive pyritic ore (MSB)",NA,NA,NA,NA,NA,NA,395,9.7262,3.9433,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0317","GDM.0317",NA,"Spain","Huelva",NA,"La Zarza (waste)",37.806968,-6.928333,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.201,NA,15.639,NA,38.228,NA,0.85924,NA,2.10032,NA,1325,0.05,NA,NA,NA,"SPZ","351",NA,"Banded polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,389,9.7309,3.9434,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0318","GDM.0318",NA,"Spain","Huelva",NA,"La Zarza (waste)",37.806968,-6.928333,"Mineral","Galena","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.183,NA,15.629,NA,38.201,NA,0.85954,NA,2.10092,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,384,9.6953,3.9374,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0319","GDM.0319",NA,"Spain","Huelva",NA,"La Zarza (waste)",37.806968,-6.928333,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.187,NA,15.623,NA,38.181,NA,0.85902,NA,2.09936,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Disseminated polymetallic sulphides (SSZ)",NA,NA,NA,NA,NA,NA,370,9.6702,3.9216,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0320","GDM.0320",NA,"Spain","Huelva",NA,"La Zarza (waste)",37.806968,-6.928333,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.192,NA,15.637,NA,38.229,NA,0.85955,NA,2.10142,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Disseminated polymetallic sulphides (SSZ)",NA,NA,NA,NA,NA,NA,392,9.7252,3.9494,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0321","GDM.0321",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.169,NA,15.611,NA,38.153,NA,0.85921,NA,2.0999,NA,2918,NA,NA,NA,NA,"SPZ","351",NA,"Banded polymetallic ore (base of MSB)",NA,NA,NA,NA,NA,NA,361,9.6265,3.9144,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0322","GDM.0322",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.182,NA,15.624,NA,38.195,NA,0.85931,NA,2.1007,NA,2570,NA,NA,NA,NA,"SPZ","351",NA,"Banded polymetallic ore (base of MSB)",NA,NA,NA,NA,NA,NA,376,9.6754,3.9331,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0323","GDM.0323",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.198,NA,15.645,NA,38.268,NA,0.85971,NA,2.10287,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Banded pyritic-polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,403,9.7558,3.9694,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0324","GDM.0324",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.186,NA,15.631,NA,38.216,NA,0.85951,NA,2.1014,NA,8975,NA,NA,NA,NA,"SPZ","351",NA,"Banded pyritic-polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,386,9.7025,3.9443,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0325","GDM.0325",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.198,NA,15.645,NA,38.26,NA,0.85971,NA,2.10243,NA,2309,NA,NA,NA,NA,"SPZ","351",NA,"Banded pyritic-polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,403,9.7558,3.965,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0326","GDM.0326",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.192,NA,15.639,NA,38.242,NA,0.85966,NA,2.10213,NA,371,NA,NA,NA,NA,"SPZ","351",NA,"Banded pyritic-polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,396,9.7332,3.9572,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0327","GDM.0327",NA,"Spain","Huelva",NA,"Rio Tinto, San Dionisio orebody (open pit) (2)",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.186,NA,15.626,NA,38.205,NA,0.85923,NA,2.10079,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Banded pyritic-polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,376,9.6824,3.9365,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone;  (2) see Pomiés et al (1998)","Geological","South Portuguese Zone"
"GDM.0328","GDM.0328",NA,"Spain","Huelva",NA,"Chaparrita",37.70455,-6.598663,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.166,NA,15.594,NA,38.107,NA,0.85842,NA,2.09771,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive pyritic ore (MSB)",NA,NA,NA,NA,NA,NA,331,9.5593,3.8852,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0329","GDM.0329",NA,"Portugal","Setúbal",NA,"Lagoa Salgada ",38.233327,-8.450731,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.19,NA,15.622,NA,38.193,NA,0.85882,NA,2.09967,NA,2541,NA,NA,NA,NA,"SPZ","351",NA,"Massive polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,366,9.6654,3.9258,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0330","GDM.0330",NA,"Portugal","Setúbal",NA,"Lagoa Salgada ",38.233327,-8.450731,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.181,NA,15.619,NA,38.178,NA,0.85908,NA,2.09988,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,367,9.6556,3.9227,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0331","GDM.0331",NA,"Portugal","Setúbal",NA,"Lagoa Salgada ",38.233327,-8.450731,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.203,NA,15.651,NA,38.262,NA,0.8598,NA,2.10196,NA,NA,NA,NA,NA,NA,"SPZ","351",NA,"Massive polymetallic ore (MSB)",NA,NA,NA,NA,NA,NA,410,9.7788,3.9647,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
"GDM.0332","GDM.0332",NA,"Portugal","Setúbal",NA,"Lousal (José orebody) (level 400)",38.032371,-8.424991,"Mineral","Ore mix","Cu-Pb-Zn-Au-Ag","Cu-Pb",18.172,NA,15.632,NA,38.235,NA,0.86022,NA,2.10406,NA,1468,NA,NA,NA,NA,"SPZ","351",NA,"Massive pyritic ore (MSB)",NA,NA,NA,NA,NA,NA,398,9.7102,3.9647,"Marcoux, 1998","Ref.026","BRGM, Orleans","TIMS","MSB: massive sulphide body, SSZ: sulphide stringer zone","Geological","South Portuguese Zone"
